budget,corr_dim_pub,density_kl,dim,diverged,epochs,err_h1,err_h10,err_h100,err_h1000,err_h200,err_h50,err_h500,final_train_loss,kaplan_yorke_dim,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,pts_per_period,rollout_steps,seed,smape_1,smape_all,spectrum_error,system,vpt_censored,vpt_lyap,vpt_steps,wall_s
1000,1.6871652299106432,0.05185411131136971,3,False,200,0.0051239170134067535,0.0401051789522171,0.6751340627670288,1.584328293800354,1.1599923372268677,0.22975900769233704,1.6992881298065186,1.842286882310873e-05,2.016657959617314,0.12597339364128174,0.041595154846414815,1011,8000,0.004107185164271359,20,1000,0,0.019111283132944523,1.143544758410237,0.5834764712695356,Blasius,False,2.9116608392490373,70.0,20.03
1000,1.6871652299106432,0.00625811244673907,3,False,200,0.0032066586427390575,0.012600535526871681,0.27973347902297974,1.1568598747253418,0.8711182475090027,0.04396950453519821,1.0291173458099365,7.101663199136965e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,1011,8000,0.002569476271326849,20,1000,1,0.011469968282658847,0.6964081374033032,0.42988953658909884,Blasius,False,5.532155594573171,133.0,20.81
1000,1.6871652299106432,0.008701632823966335,3,False,200,0.0031874238047748804,0.03135591000318527,0.19172051548957825,1.0755670070648193,0.8661209344863892,0.05814332887530327,0.8817256093025208,8.497860020725056e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,1011,8000,0.0025481814429481587,20,1000,2,0.018212623157177688,0.6760037767049288,0.4359251897059277,Blasius,False,5.8649168333444885,141.0,21.19
3000,1.6871652299106432,0.005377889325094955,3,False,200,0.0029164901934564114,0.01906091347336769,0.2637149393558502,1.0388301610946655,1.0614031553268433,0.07659560441970825,1.000306487083435,6.280722285737284e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,3012,8000,0.0023372231645873145,20,1000,0,0.013725314411535558,0.6861200084409346,0.3962948361580491,Blasius,False,4.825037962184118,115.99999999999999,17.73
3000,1.6871652299106432,0.002607996526405442,3,False,200,0.0024196477606892586,0.01565609686076641,0.11857597529888153,1.1598539352416992,0.7463136315345764,0.033751264214515686,1.0302822589874268,3.925958631953108e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,3012,8000,0.001937754406607262,20,1000,1,0.006868170275671943,0.6478902701730843,0.37496481948805177,Blasius,False,6.280868381808637,151.0,17.0
3000,1.6871652299106432,0.006965233903607026,3,False,200,0.002484997035935521,0.03751213103532791,0.4988418519496918,0.9266995191574097,0.8783208131790161,0.12799745798110962,1.0621010065078735,5.562951904721558e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,3012,8000,0.001988197802109715,20,1000,2,0.008747853600433892,0.711496796915892,0.4253704573522346,Blasius,False,3.6603736264845037,88.0,15.64
10000,1.6871652299106432,0.010582977185794068,3,False,200,0.002267417497932911,0.01857164315879345,0.584449291229248,0.9431420564651489,0.8984872698783875,0.12140288203954697,1.1171549558639526,3.91876539470104e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,9987,8000,0.0018157791033461673,20,1000,0,0.003852998683239272,0.7164581710587576,0.40934878823090154,Blasius,False,3.4939930070988443,84.0,20.07
10000,1.6871652299106432,0.014629620725610276,3,False,200,0.002294467994943261,0.018877854570746422,0.19968971610069275,0.8845450282096863,1.0670260190963745,0.05853284150362015,0.9845404028892517,3.938859952540952e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,9987,8000,0.0018384589830781302,20,1000,1,0.00819464366474502,0.6444014174760854,0.45386240848857984,Blasius,False,5.490560439726756,132.0,19.8
10000,1.6871652299106432,0.007668900155418399,3,False,200,0.002284026937559247,0.009192489087581635,0.27651214599609375,0.8433557152748108,0.9610727429389954,0.06458687782287598,0.9776268601417542,3.638810823758831e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,9987,8000,0.0018302672875552012,20,1000,2,0.006193624725045269,0.6612428335106333,0.4601201484660553,Blasius,False,4.908228271876948,117.99999999999999,19.92
32000,1.6871652299106432,0.004830371321116216,3,False,200,0.0020362702198326588,0.02170194499194622,0.11760902404785156,0.9425283074378967,0.8005368709564209,0.04797009751200676,0.9387835264205933,3.2516084393137136e-06,2.016657959617314,0.12597339364128174,0.041595154846414815,32028,8000,0.0016310816108028427,20,1000,0,0.005022395238930157,0.6485406497234096,0.45334773525807986,Blasius,False,6.405653846347882,154.0,28.22
