direct_pair_multiplier,err_direct,err_parrot,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,n_pairs_direct,n_pairs_rollout,params_direct,params_rollout,seed,system
1,0.04251033067703247,0.014285838456423573,0.0004727510386146605,1,2.075158758095728,0.8917098035724058,0.013382780732014665,16000,16000,19859,19868,0,Lorenz
1,0.04048089683055878,0.014525403188561974,0.0009527069632895291,2,2.075158758095728,0.8917098035724058,0.02676556146402933,16000,16000,19859,19868,0,Lorenz
1,0.05917107313871384,0.015382314760138434,0.0018458287231624126,4,2.075158758095728,0.8917098035724058,0.05353112292805866,16000,16000,19859,19868,0,Lorenz
1,0.07971324026584625,0.018240658268500253,0.003491808194667101,8,2.075158758095728,0.8917098035724058,0.10706224585611732,16000,16000,19859,19868,0,Lorenz
1,0.11608321219682693,0.03055826989081893,0.0057910424657166,16,2.075158758095728,0.8917098035724058,0.21412449171223463,16000,16000,19859,19868,0,Lorenz
1,0.25009045004844666,0.11068872611895827,0.020972013473510742,32,2.075158758095728,0.8917098035724058,0.42824898342446927,16000,16000,19859,19868,0,Lorenz
1,0.5778710246086121,0.17515139675001778,0.16417117416858673,64,2.075158758095728,0.8917098035724058,0.8564979668489385,16000,16000,19859,19868,0,Lorenz
1,0.9761179685592651,0.51469679316377,0.2983517050743103,128,2.075158758095728,0.8917098035724058,1.712995933697877,16000,16000,19859,19868,0,Lorenz
1,0.9762616753578186,1.0039963940783754,0.6916050910949707,256,2.075158758095728,0.8917098035724058,3.425991867395754,16000,16000,19859,19868,0,Lorenz
1,1.0317866802215576,1.2755083722719043,1.4198977947235107,512,2.075158758095728,0.8917098035724058,6.851983734791508,16000,16000,19859,19868,0,Lorenz
4,0.04257796332240105,0.014285838456423573,0.0004727510386146605,1,2.075158758095728,0.8917098035724058,0.013382780732014665,64000,16000,19859,19868,0,Lorenz
4,0.03446855768561363,0.014525403188561974,0.0009527069632895291,2,2.075158758095728,0.8917098035724058,0.02676556146402933,64000,16000,19859,19868,0,Lorenz
4,0.044469330459833145,0.015382314760138434,0.0018458287231624126,4,2.075158758095728,0.8917098035724058,0.05353112292805866,64000,16000,19859,19868,0,Lorenz
4,0.06479691714048386,0.018240658268500253,0.003491808194667101,8,2.075158758095728,0.8917098035724058,0.10706224585611732,64000,16000,19859,19868,0,Lorenz
