direct_pair_multiplier,err_direct,err_parrot,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,n_pairs_direct,n_pairs_rollout,params_direct,params_rollout,seed,system
1,0.025162195786833763,0.016568810943254634,0.000416723545640707,1,2.0146095059018845,0.15059688939547888,0.008898167806821265,16000,16000,19859,19868,0,Rossler
1,0.02044995129108429,0.023523627230965787,0.0007761608576402068,2,2.0146095059018845,0.15059688939547888,0.01779633561364253,16000,16000,19859,19868,0,Rossler
1,0.031069081276655197,0.03813766183846271,0.0012698130449280143,4,2.0146095059018845,0.15059688939547888,0.03559267122728506,16000,16000,19859,19868,0,Rossler
1,0.04525749385356903,0.03452224997443123,0.002426623133942485,8,2.0146095059018845,0.15059688939547888,0.07118534245457012,16000,16000,19859,19868,0,Rossler
1,0.06126140430569649,0.015477154020421885,0.018363086506724358,16,2.0146095059018845,0.15059688939547888,0.14237068490914023,16000,16000,19859,19868,0,Rossler
1,0.08341342210769653,0.026801919951104813,0.021949829533696175,32,2.0146095059018845,0.15059688939547888,0.28474136981828047,16000,16000,19859,19868,0,Rossler
1,0.19461235404014587,0.021720354083819973,0.02605600282549858,64,2.0146095059018845,0.15059688939547888,0.5694827396365609,16000,16000,19859,19868,0,Rossler
1,0.3785093426704407,0.033559468135741385,0.08553095906972885,128,2.0146095059018845,0.15059688939547888,1.1389654792731219,16000,16000,19859,19868,0,Rossler
1,0.8561466932296753,0.061189804335392776,0.13806171715259552,256,2.0146095059018845,0.15059688939547888,2.2779309585462437,16000,16000,19859,19868,0,Rossler
1,1.034810185432434,0.25767701914683444,0.580984890460968,512,2.0146095059018845,0.15059688939547888,4.5558619170924874,16000,16000,19859,19868,0,Rossler
4,0.022274700924754143,0.016568810943254634,0.000416723545640707,1,2.0146095059018845,0.15059688939547888,0.008898167806821265,64000,16000,19859,19868,0,Rossler
4,0.01810288615524769,0.023523627230965787,0.0007761608576402068,2,2.0146095059018845,0.15059688939547888,0.01779633561364253,64000,16000,19859,19868,0,Rossler
4,0.020979344844818115,0.03813766183846271,0.0012698130449280143,4,2.0146095059018845,0.15059688939547888,0.03559267122728506,64000,16000,19859,19868,0,Rossler
4,0.022489596158266068,0.03452224997443123,0.002426623133942485,8,2.0146095059018845,0.15059688939547888,0.07118534245457012,64000,16000,19859,19868,0,Rossler
4,0.035921160131692886,0.015477154020421885,0.018363086506724358,16,2.0146095059018845,0.15059688939547888,0.14237068490914023,64000,16000,19859,19868,0,Rossler
4,0.04306221008300781,0.026801919951104813,0.021949829533696175,32,2.0146095059018845,0.15059688939547888,0.28474136981828047,64000,16000,19859,19868,0,Rossler
4,0.07587653398513794,0.021720354083819973,0.02605600282549858,64,2.0146095059018845,0.15059688939547888,0.5694827396365609,64000,16000,19859,19868,0,Rossler
4,0.20870491862297058,0.033559468135741385,0.08553095906972885,128,2.0146095059018845,0.15059688939547888,1.1389654792731219,64000,16000,19859,19868,0,Rossler
4,0.63663250207901,0.061189804335392776,0.13806171715259552,256,2.0146095059018845,0.15059688939547888,2.2779309585462437,64000,16000,19859,19868,0,Rossler
4,0.9065287113189697,0.25767701914683444,0.580984890460968,512,2.0146095059018845,0.15059688939547888,4.5558619170924874,64000,16000,19859,19868,0,Rossler
1,0.026746215298771858,0.016568810943254634,0.0003365033771842718,1,2.0146095059018845,0.15059688939547888,0.008898167806821265,16000,16000,19859,19868,1,Rossler
1,0.01896706223487854,0.023523627230965787,0.0005918820388615131,2,2.0146095059018845,0.15059688939547888,0.01779633561364253,16000,16000,19859,19868,1,Rossler
1,0.02850930392742157,0.03813766183846271,0.0009230599389411509,4,2.0146095059018845,0.15059688939547888,0.03559267122728506,16000,16000,19859,19868,1,Rossler
1,0.03127684071660042,0.03452224997443123,0.002095084171742201,8,2.0146095059018845,0.15059688939547888,0.07118534245457012,16000,16000,19859,19868,1,Rossler
1,0.04649897292256355,0.015477154020421885,0.01350072305649519,16,2.0146095059018845,0.15059688939547888,0.14237068490914023,16000,16000,19859,19868,1,Rossler
1,0.08278875052928925,0.026801919951104813,0.044576406478881836,32,2.0146095059018845,0.15059688939547888,0.28474136981828047,16000,16000,19859,19868,1,Rossler
1,0.19287793338298798,0.021720354083819973,0.07960972189903259,64,2.0146095059018845,0.15059688939547888,0.5694827396365609,16000,16000,19859,19868,1,Rossler
1,0.3944295346736908,0.033559468135741385,0.11404957622289658,128,2.0146095059018845,0.15059688939547888,1.1389654792731219,16000,16000,19859,19868,1,Rossler
1,0.8289055228233337,0.061189804335392776,0.29529088735580444,256,2.0146095059018845,0.15059688939547888,2.2779309585462437,16000,16000,19859,19868,1,Rossler
1,1.0140796899795532,0.25767701914683444,0.5796942114830017,512,2.0146095059018845,0.15059688939547888,4.5558619170924874,16000,16000,19859,19868,1,Rossler
