coverage,dataset,decorr_time,dist_shift,fit_s,kind,method,mse,n_dims,n_rows,noise_floor,nrmse,r2,seed,source,spectral_entropy
0.21018329018721102,temps_daily_min,46,0.09489326903429907,0.0,weather,mean,0.9790327981524036,1,3650,0.055778733081796844,1.0052578942999284,-0.010543434052325829,0,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,0.0,weather,persistence,0.42456269468422386,1,3650,0.055778733081796844,0.6619874974564699,0.5617725532113202,0,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,0.3,weather,ridge,0.33330022556652084,1,3650,0.055778733081796844,0.586538704374546,0.6559723482706289,0,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,0.14,weather,knn,0.38463639278969364,1,3650,0.055778733081796844,0.6300921344473778,0.6029839021075476,0,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,1.75,weather,trees,0.36557041030757875,1,3650,0.055778733081796844,0.6142771912605292,0.6226635322970753,0,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,17.57,weather,mlp,0.42131539007675173,1,3650,0.055778733081796844,0.659451003592469,0.5651243738608854,0,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,13.51,weather,cnn,0.3638989103969286,1,3650,0.055778733081796844,0.6128712505683878,0.6243888302267404,0,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,27.15,weather,gru,0.5276813348445722,1,3650,0.055778733081796844,0.738014233867044,0.45533499060964,0,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,0.0,weather,mean,0.9790327981524036,1,3650,0.055778733081796844,1.0052578942999284,-0.010543434052325829,2,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,0.0,weather,persistence,0.42456269468422386,1,3650,0.055778733081796844,0.6619874974564699,0.5617725532113202,2,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,0.0,weather,ridge,0.33330022556652084,1,3650,0.055778733081796844,0.586538704374546,0.6559723482706289,2,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,0.05,weather,knn,0.38463639278969364,1,3650,0.055778733081796844,0.6300921344473778,0.6029839021075476,2,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,1.85,weather,trees,0.36557041030757875,1,3650,0.055778733081796844,0.6142771912605292,0.6226635322970753,2,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,14.72,weather,mlp,0.43527076168126855,1,3650,0.055778733081796844,0.6702836399697515,0.5507198419889006,2,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,17.14,weather,cnn,0.3819969216479215,1,3650,0.055778733081796844,0.6279264878292342,0.6057083258824426,2,csv,0.9591024714998985
0.21018329018721102,temps_daily_min,46,0.09489326903429907,31.72,weather,gru,0.51939246355373,1,3650,0.055778733081796844,0.7321948899286888,0.4638906431623153,2,csv,0.9591024714998985
0.17355232678585333,temps_daily_max,40,0.03726334649407287,0.0,weather,mean,0.9566903831060257,1,3650,0.048117299513622265,1.0011127851103796,-0.0022268085114611758,1,csv,0.9626418469356386
0.17355232678585333,temps_daily_max,40,0.03726334649407287,0.0,weather,persistence,0.5001956510054767,1,3650,0.048117299513622265,0.7238811360007027,0.47599610094233213,1,csv,0.9626418469356386
0.17355232678585333,temps_daily_max,40,0.03726334649407287,0.0,weather,ridge,0.3945658913129971,1,3650,0.048117299513622265,0.642920203208473,0.5866536123063759,1,csv,0.9626418469356386
0.17355232678585333,temps_daily_max,40,0.03726334649407287,0.04,weather,knn,0.43139865152789053,1,3650,0.048117299513622265,0.6722591084369117,0.5480676911236085,1,csv,0.9626418469356386
0.17355232678585333,temps_daily_max,40,0.03726334649407287,1.12,weather,trees,0.41852047995454333,1,3650,0.048117299513622265,0.662148898476976,0.5615588362457273,1,csv,0.9626418469356386
0.17355232678585333,temps_daily_max,40,0.03726334649407287,9.36,weather,mlp,0.5258790992336965,1,3650,0.048117299513622265,0.742232998956869,0.4490901752594926,1,csv,0.9626418469356386
0.17355232678585333,temps_daily_max,40,0.03726334649407287,20.43,weather,cnn,0.42753758094820293,1,3650,0.048117299513622265,0.6692439462240041,0.5521125404425224,1,csv,0.9626418469356386
0.17355232678585333,temps_daily_max,40,0.03726334649407287,27.43,weather,gru,0.5531131211624116,1,3650,0.048117299513622265,0.7612096479490754,0.4205598718692447,1,csv,0.9626418469356386
0.1622346974905271,temps_monthly_mean,3,0.0981751562081077,0.0,weather,mean,0.9451634785712684,1,240,0.04177487253078701,1.0010151467043773,-0.0020313239315861154,0,csv,0.8252271324206392
0.1622346974905271,temps_monthly_mean,3,0.0981751562081077,0.0,weather,persistence,0.3863306859100039,1,240,0.04177487253078701,0.639980565116406,0.5904248762732857,0,csv,0.8252271324206392
0.1622346974905271,temps_monthly_mean,3,0.0981751562081077,0.0,weather,ridge,0.09190403618693034,1,240,0.04177487253078701,0.312143629167017,0.9025663547704438,0,csv,0.8252271324206392
0.1622346974905271,temps_monthly_mean,3,0.0981751562081077,0.0,weather,knn,0.06776855290776494,1,240,0.04177487253078701,0.26804103671859597,0.9281540026348203,0,csv,0.8252271324206392
0.1622346974905271,temps_monthly_mean,3,0.0981751562081077,0.21,weather,trees,0.08817747857453202,1,240,0.04177487253078701,0.30574968693203197,0.9065171289409645,0,csv,0.8252271324206392
0.1622346974905271,temps_monthly_mean,3,0.0981751562081077,2.67,weather,mlp,0.1071814109647167,1,240,0.04177487253078701,0.33709081410940467,0.8863697830430588,0,csv,0.8252271324206392
0.1622346974905271,temps_monthly_mean,3,0.0981751562081077,3.89,weather,cnn,0.10807814912749684,1,240,0.04177487253078701,0.33849801971230087,0.8854190906508508,0,csv,0.8252271324206392
