property,rho,p
coverage,-0.46088464874241114,0.0011133321853021134
noise_floor,-0.8199479618386818,1.7886286811677717e-12
dist_shift,0.0721017635154669,0.630074493109697
decorr_time,0.6618427947824697,4.068582842888194e-07
spectral_entropy,-0.7389997108991038,3.0064795903572678e-09
n_dims,-0.40348965111376567,0.0049180540907661965
n_rows,0.35606391446045144,0.014032993626680161
