density_kl,dim,diverged,err_h1,err_h10,err_h100,err_h1000,err_h200,err_h50,err_h500,final_train_loss,lyap_max,lyap_time_per_step,n_params,n_train,noise,nrmse_1,parrot_err_10,parrot_err_final,parrot_vpt_lyap,parrot_vpt_steps,persistence_err_10,persistence_err_final,persistence_vpt_lyap,persistence_vpt_steps,rollout_steps,seed,smape_1,smape_all,spectrum_error,system,vpt_censored,vpt_lyap,vpt_steps,wall_s
0.0004762634161211419,3,False,0.001375499996356666,0.004258757922798395,0.00751149095594883,nan,0.012057035230100155,0.005055542569607496,nan,1.7309395152551588e-06,0.00817284128815307,0.0005197927059265353,9987,8000,0.0,0.0013365599587840719,0.011160067171825662,0.010975569912847998,0.10395854118530705,200.0,1.309081729109252,0.16714413941764367,0.0,0.0,200,0,0.015617320013942384,0.021256543590133715,0.05067492601303777,Torus,True,0.10395854118530705,200.0,20.94
0.0024108602905683,3,False,0.0015419006813317537,0.006899742875248194,0.005679728463292122,nan,0.008787414990365505,0.005743344314396381,nan,2.1600393065455135e-06,0.00817284128815307,0.0005197927059265353,9987,8000,0.0,0.0014981823184185643,0.011160067171825662,0.010975569912847998,0.10395854118530705,200.0,1.309081729109252,0.16714413941764367,0.0,0.0,200,1,0.004304058995081838,0.02067749644533087,0.05790612081776689,Torus,True,0.10395854118530705,200.0,17.08
0.0012221069647616871,3,False,0.0015132995322346687,0.0037263804115355015,0.00538635952398181,nan,0.009433707222342491,0.004481907933950424,nan,2.2361969167832286e-06,0.00817284128815307,0.0005197927059265353,9987,8000,0.0,0.0014704312235490479,0.011160067171825662,0.010975569912847998,0.10395854118530705,200.0,1.309081729109252,0.16714413941764367,0.0,0.0,200,2,0.01346973308785321,0.01578528622993473,0.05077319366874017,Torus,True,0.10395854118530705,200.0,17.15
0.01393863521107435,3,False,0.0008578592096455395,0.007623553276062012,0.09807638823986053,nan,0.26967886090278625,0.020358452573418617,nan,9.587033400748623e-07,0.010464383779400952,0.0006139767894887921,9987,8000,0.0,0.0008590784565522814,0.028631688363400146,0.08123989746220128,0.12279535789775842,200.0,0.7674702779794627,1.0418047507933847,0.0030698839474439603,5.0,200,0,0.004132767117660903,0.12458858131899035,0.8542889794594034,NoseHoover,True,0.12279535789775842,200.0,17.62
0.20387027202324368,3,False,0.0010058458428829908,0.00935338344424963,0.1478983759880066,nan,0.3537764549255371,0.06940610706806183,nan,1.4281004423537524e-06,0.010464383779400952,0.0006139767894887921,9987,8000,0.0,0.0010042461140658857,0.028631688363400146,0.08123989746220128,0.12279535789775842,200.0,0.7674702779794627,1.0418047507933847,0.0030698839474439603,5.0,200,1,0.00821176959391674,0.16430672406004396,0.7665717100014899,NoseHoover,True,0.12279535789775842,200.0,17.7
0.5941073126410639,3,False,0.001034810789860785,0.009937294758856297,0.09283943474292755,nan,0.22594423592090607,0.03395768254995346,nan,1.3367320698307593e-06,0.010464383779400952,0.0006139767894887921,9987,8000,0.0,0.0010290908145733086,0.028631688363400146,0.08123989746220128,0.12279535789775842,200.0,0.7674702779794627,1.0418047507933847,0.0030698839474439603,5.0,200,2,0.010647419676147447,0.13145791240557253,0.6726491241041898,NoseHoover,True,0.12279535789775842,200.0,19.98
0.016314725177637244,3,False,0.0010989515576511621,0.011863520368933678,0.032284215092659,nan,0.1835779994726181,0.02080710418522358,nan,1.1787936973632896e-06,0.012532796124563227,0.016943087080797024,9987,8000,0.0,0.0010839037177847108,0.024673035737347363,0.45947533457460366,3.1175280228666526,184.0,1.0596919407687488,0.8799220563156298,0.016943087080797024,1.0,200,0,0.003452405422878795,0.10527984743028268,0.4287545988799186,HastingsPowell,True,3.3886174161594047,200.0,17.33
0.025255727070724904,3,False,0.001241331803612411,0.006926460657268763,0.10725360363721848,nan,0.4002937078475952,0.04712184518575668,nan,1.4431058871196e-06,0.012532796124563227,0.016943087080797024,9987,8000,0.0,0.0012255390153906658,0.024673035737347363,0.45947533457460366,3.1175280228666526,184.0,1.0596919407687488,0.8799220563156298,0.016943087080797024,1.0,200,1,0.004303534559043893,0.2082854331072663,0.40128154872838984,HastingsPowell,False,2.795609368331509,165.0,17.0
0.01287971113199437,3,False,0.0012797097442671657,0.007610409054905176,0.08127200603485107,nan,0.2907014787197113,0.0444934256374836,nan,1.3831816086167238e-06,0.012532796124563227,0.016943087080797024,9987,8000,0.0,0.001263234126639464,0.024673035737347363,0.45947533457460366,3.1175280228666526,184.0,1.0596919407687488,0.8799220563156298,0.016943087080797024,1.0,200,2,0.004906165224665499,0.1884237230784241,0.5212135159740202,HastingsPowell,True,3.3886174161594047,200.0,17.04
0.07751971090886675,3,False,0.00237910239957273,0.01108078844845295,0.4741152822971344,nan,0.6399386525154114,0.394711434841156,nan,7.4160551303066315e-06,0.021594561241816756,0.010896614350242306,9987,8000,0.0,0.0024091467372081067,0.014049924388021549,0.48024975583126134,1.8415278251909497,169.0,0.8071043213904932,0.6298744740301006,0.010896614350242306,1.0,200,0,0.0038138417237799714,0.24776592094046293,0.5956737450321089,GlycolyticOscillation,False,0.44676118835993456,41.0,17.03
