density_kl,dim,diverged,err_h1,err_h10,err_h100,err_h1000,err_h200,err_h50,err_h500,final_train_loss,lyap_max,lyap_time_per_step,max_deviation_ratio,n_params,n_train,noise,nrmse_1,parrot_err_10,parrot_err_final,parrot_vpt_lyap,parrot_vpt_steps,persistence_err_10,persistence_err_final,persistence_vpt_lyap,persistence_vpt_steps,rollout_steps,seed,smape_1,smape_all,spectrum_error,system,vpt_censored,vpt_lyap,vpt_steps,wall_s
6.431844889014936,3,False,0.24594877660274506,0.4730343818664551,1.0971906185150146,nan,1.1215640306472778,1.0409184694290161,nan,0.06748001196980477,0.010464383779400952,0.0006139767894887921,0.203147754073143,9987,8000,0.2,0.24855807364122473,0.43699755175054433,0.6433085723871755,0.0049118143159103365,8.0,0.809495090442441,1.0305518582798763,0.0018419303684663762,3.0,200,0,0.42584464148775814,1.1192773132871432,0.9292680638090632,NoseHoover,False,0.0049118143159103365,8.0,22.97
6.515318819859796,3,False,0.24254904687404633,0.49826183915138245,1.3566641807556152,nan,1.4442386627197266,1.203881859779358,nan,0.06671243849396706,0.010464383779400952,0.0006139767894887921,0.24924327433109283,9987,8000,0.2,0.2450692231084075,0.43699755175054433,0.6433085723871755,0.0049118143159103365,8.0,0.809495090442441,1.0305518582798763,0.0018419303684663762,3.0,200,1,0.4133449474735365,1.2323658073832666,0.9128472372017705,NoseHoover,False,0.004297837526421544,6.999999999999999,18.06
1.3018051238527122,3,False,0.24212491512298584,0.4991511106491089,1.325195550918579,nan,1.2562792301177979,1.0960019826889038,nan,0.06715475529432297,0.010464383779400952,0.0006139767894887921,0.34645774960517883,9987,8000,0.2,0.24475001427795623,0.43699755175054433,0.6433085723871755,0.0049118143159103365,8.0,0.809495090442441,1.0305518582798763,0.0018419303684663762,3.0,200,2,0.4214024469074436,1.209837288066679,1.054998155589114,NoseHoover,False,0.004297837526421544,6.999999999999999,17.5
3.0326008589580145,3,False,0.22718703746795654,0.29744842648506165,1.1443767547607422,nan,1.1443814039230347,0.8912356495857239,nan,0.059503358840942384,0.023218704376506836,0.002537804388352197,0.4104554057121277,9987,8000,0.2,0.22813516280829393,0.3715672809727718,0.40062365548061757,0.05583169654374834,22.0,0.8320058896824108,0.37524345587287444,0.007613413165056591,3.0,200,0,0.4764175389303315,1.173730802709894,0.9936718244442982,SprottI,False,0.05075608776704394,20.0,18.17
1.2411138357700537,3,False,0.224739670753479,0.29346051812171936,1.1425755023956299,nan,1.2703303098678589,0.8614585995674133,nan,0.05917399922013283,0.023218704376506836,0.002537804388352197,0.41667136549949646,9987,8000,0.2,0.22568675312514744,0.3715672809727718,0.40062365548061757,0.05583169654374834,22.0,0.8320058896824108,0.37524345587287444,0.007613413165056591,3.0,200,1,0.4688640319884083,1.1823780240481114,1.0374726281574438,SprottI,False,0.04314267460198735,17.0,17.45
2.87265116896238,3,False,0.22517353296279907,0.2990494966506958,1.0875403881072998,nan,1.07670259475708,0.824342668056488,nan,0.05936494845151901,0.023218704376506836,0.002537804388352197,0.41730836033821106,9987,8000,0.2,0.2261199588635127,0.3715672809727718,0.40062365548061757,0.05583169654374834,22.0,0.8320058896824108,0.37524345587287444,0.007613413165056591,3.0,200,2,0.47005041115679425,1.2626333491165211,1.018660942966433,SprottI,False,0.04314267460198735,17.0,18.62
6.337290680458715,3,False,0.2407914251089096,0.361069917678833,1.177492618560791,nan,1.326473593711853,0.9651778936386108,nan,0.0634924532175064,0.06012563518102038,0.0018284806914900108,0.1919679343700409,9987,8000,0.2,0.2705788841811795,0.37739060800230056,0.8388955965877668,0.02011328760639012,11.0,0.594822684261971,1.4895569330826661,0.009142403457450054,5.0,200,0,0.4746511023958822,1.0940339912863255,1.1336084812616785,Bouali,False,0.02011328760639012,11.0,20.47
6.968693256855153,3,False,0.23978804051876068,0.36817869544029236,1.1740113496780396,nan,1.3260340690612793,0.9651131629943848,nan,0.06396542990207672,0.06012563518102038,0.0018284806914900108,0.17881055176258087,9987,8000,0.2,0.26935833911071444,0.37739060800230056,0.8388955965877668,0.02011328760639012,11.0,0.594822684261971,1.4895569330826661,0.009142403457450054,5.0,200,1,0.4735523127605686,1.0928504332573443,1.1687539541646346,Bouali,False,0.02011328760639012,11.0,17.77
5.900799232160736,3,False,0.2428991049528122,0.3776877522468567,1.175912857055664,nan,1.3252149820327759,0.9721964597702026,nan,0.06399156081676483,0.06012563518102038,0.0018284806914900108,0.16012106835842133,9987,8000,0.2,0.2730081219235991,0.37739060800230056,0.8388955965877668,0.02011328760639012,11.0,0.594822684261971,1.4895569330826661,0.009142403457450054,5.0,200,2,0.4795785768997201,1.079067931132721,1.18964318383949,Bouali,False,0.018284806914900108,10.0,17.2
0.7487749917224393,3,False,0.22510340809822083,0.32315394282341003,1.0947880744934082,nan,1.4974240064620972,1.0060069561004639,nan,0.05728659892082214,0.08785190282162628,0.010472825335366068,0.4599439799785614,9987,8000,0.2,0.22443906303515718,0.3715462065438668,0.7118252360420311,0.1675652053658571,16.0,0.8721425228874786,0.7028588702838102,0.031418476006098206,3.0,200,0,0.38425589507701846,1.0044427862105207,1.0343119021448155,SprottJerk,False,0.14661955469512494,13.999999999999998,19.86
0.7500477110049723,3,False,0.22308878600597382,0.32611972093582153,1.3151891231536865,nan,1.5727019309997559,1.0317096710205078,nan,0.05722954547405243,0.08785190282162628,0.010472825335366068,0.45809417963027954,9987,8000,0.2,0.22242387043490175,0.3715462065438668,0.7118252360420311,0.1675652053658571,16.0,0.8721425228874786,0.7028588702838102,0.031418476006098206,3.0,200,1,0.373035238668896,1.0824874433981098,0.746852959842946,SprottJerk,False,0.14661955469512494,13.999999999999998,17.25
0.7551173866813597,3,False,0.2245490401983261,0.3266216218471527,1.3202143907546997,nan,1.5674046277999878,1.0172199010849,nan,0.057207712441682816,0.08785190282162628,0.010472825335366068,0.45771846175193787,9987,8000,0.2,0.2238954353379434,0.3715462065438668,0.7118252360420311,0.1675652053658571,16.0,0.8721425228874786,0.7028588702838102,0.031418476006098206,3.0,200,2,0.38259253993130843,1.083467223858173,0.7533448145702096,SprottJerk,False,0.14661955469512494,13.999999999999998,17.59
7.800247768821422,3,False,0.23316456377506256,0.39884093403816223,1.2791681289672852,nan,1.0605263710021973,1.2816107273101807,nan,0.06299890705943108,0.09661415277799693,0.006775840376779259,0.13375435769557953,9987,8000,0.2,0.23708136054957182,0.38443130073042625,0.7278854608490469,0.09486176527490962,14.0,0.8709982905702497,0.9270166094143979,0.013551680753558518,2.0,200,0,0.46564736051334554,1.1788947173086182,1.7906642539144668,SprottR,False,0.06775840376779259,10.0,16.99
7.789048368287751,3,False,0.23518764972686768,0.4009208381175995,1.2619819641113281,nan,1.0553340911865234,1.2685039043426514,nan,0.06311285927891731,0.09661415277799693,0.006775840376779259,0.13186892867088318,9987,8000,0.2,0.2390922058092216,0.38443130073042625,0.7278854608490469,0.09486176527490962,14.0,0.8709982905702497,0.9270166094143979,0.013551680753558518,2.0,200,1,0.4660993965777644,1.1725908812499357,1.8247638319326611,SprottR,False,0.06098256339101333,9.0,16.9
7.772172570454496,3,False,0.23304414749145508,0.39383652806282043,1.270264983177185,nan,1.0565872192382812,1.2868996858596802,nan,0.06326807951927185,0.09661415277799693,0.006775840376779259,0.1322733610868454,9987,8000,0.2,0.2369721502551524,0.38443130073042625,0.7278854608490469,0.09486176527490962,14.0,0.8709982905702497,0.9270166094143979,0.013551680753558518,2.0,200,2,0.46367980189802527,1.181938021167802,1.8145572067224032,SprottR,False,0.06775840376779259,10.0,17.12
6.501466072731031,3,False,0.21809183061122894,0.3589138388633728,1.2896465063095093,nan,1.1918680667877197,1.0183897018432617,nan,0.061380220651626585,0.1056964344650892,0.014382113837664686,0.16332584619522095,9987,8000,0.2,0.24173139053661388,0.3633183057596619,1.1734520192106597,0.08629268302598811,5.999999999999999,0.6782759377950494,1.0869839113283195,0.043146341512994055,2.9999999999999996,200,0,0.5391046746211642,1.1295614401562573,1.1033885615665617,SprottTorus,False,0.15820325221431156,11.0,17.52
6.864188843077471,3,False,0.22031252086162567,0.3662942349910736,1.2749289274215698,nan,1.164745807647705,0.9851183891296387,nan,0.06168851494789124,0.1056964344650892,0.014382113837664686,0.15083321928977966,9987,8000,0.2,0.24462699707269425,0.3633183057596619,1.1734520192106597,0.08629268302598811,5.999999999999999,0.6782759377950494,1.0869839113283195,0.043146341512994055,2.9999999999999996,200,1,0.541765262040531,1.104945132095497,1.1493429392856693,SprottTorus,False,0.15820325221431156,11.0,17.24
7.0166177956977265,3,False,0.21895988285541534,0.36760297417640686,1.2663025856018066,nan,1.1544432640075684,0.9919978976249695,nan,0.06156007647514343,0.1056964344650892,0.014382113837664686,0.14703163504600525,9987,8000,0.2,0.24299107913486676,0.3633183057596619,1.1734520192106597,0.08629268302598811,5.999999999999999,0.6782759377950494,1.0869839113283195,0.043146341512994055,2.9999999999999996,200,2,0.5406741494715275,1.1120708884042716,1.1711294378491042,SprottTorus,False,0.15820325221431156,11.0,17.05
7.527816672665497,3,False,0.24980325996875763,0.5045745372772217,1.2253031730651855,nan,1.081918716430664,1.1794229745864868,nan,0.06555359745025635,0.13100182470690253,0.02650035911995931,0.1568783074617386,9987,8000,0.2,0.24892613689780133,0.47265344032680534,1.2574585732287789,0.10600143647983724,4.0,1.3310950467043048,1.1938600885128123,0.02650035911995931,1.0,200,0,0.5277326708484916,1.1661869876273456,1.355223091416318,SprottH,False,0.15900215471975587,6.0,17.57
