density_kl,dim,diverged,err_h1,err_h10,err_h100,err_h1000,err_h200,err_h50,err_h500,final_train_loss,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,parrot_err_10,parrot_err_final,parrot_vpt_lyap,parrot_vpt_steps,persistence_err_10,persistence_err_final,persistence_vpt_lyap,persistence_vpt_steps,rollout_steps,seed,smape_1,smape_all,spectrum_error,system,vpt_censored,vpt_lyap,vpt_steps,wall_s
0.12744749580969375,3,False,0.001972840866073966,0.011689900420606136,0.15060284733772278,nan,0.645255982875824,0.1368018537759781,nan,5.565121486142743e-06,0.00732698039035783,0.008995333825242308,9987,8000,0.002010811824344307,0.022919926685132753,0.19962033252472008,1.7990667650484615,200.0,0.8320840687456578,1.7236738459240706,0.03598133530096923,4.0,200,0,0.0038823877841134957,0.20861269884898898,0.38638796204770154,CoevolvingPredatorPrey,False,0.5936920324659923,66.0,20.32
1.211440671786026,3,False,0.002336943056434393,0.009325804188847542,0.567032516002655,nan,1.939710259437561,0.14780093729496002,nan,7.047136285109445e-06,0.00732698039035783,0.008995333825242308,9987,8000,0.0023830909948136026,0.022919926685132753,0.19962033252472008,1.7990667650484615,200.0,0.8320840687456578,1.7236738459240706,0.03598133530096923,4.0,200,1,0.00402929321196588,0.3437119617103004,1.0844536012017196,CoevolvingPredatorPrey,False,0.58469669864075,65.0,16.5
1.2375664291952682,3,False,0.0023360976483672857,0.0095796724781394,15.328946113586426,nan,45.54182434082031,4.895615100860596,nan,6.1117626091800045e-06,0.00732698039035783,0.008995333825242308,9987,8000,0.002381720504119513,0.022919926685132753,0.19962033252472008,1.7990667650484615,200.0,0.8320840687456578,1.7236738459240706,0.03598133530096923,4.0,200,2,0.006843173342953497,0.46516144209037236,3.1432812187746584,CoevolvingPredatorPrey,False,0.17990667650484615,20.0,14.15
1.6198204004306611,3,False,0.00249462085776031,0.011588416993618011,0.22655436396598816,nan,1.7017782926559448,0.18104428052902222,nan,8.758182968449546e-06,0.00732698039035783,0.008995333825242308,9987,8000,0.002543601157878555,0.022919926685132753,0.19962033252472008,1.7990667650484615,200.0,0.8320840687456578,1.7236738459240706,0.03598133530096923,4.0,200,3,0.0036722234313084374,0.3085138364399223,1.273695277968422,CoevolvingPredatorPrey,False,0.5397200295145385,60.0,14.07
1.1240004676990647,3,False,0.0030196059960871935,0.05408333241939545,13.17916202545166,nan,49.06376266479492,1.1633628606796265,nan,1.3494051003362983e-05,0.00732698039035783,0.008995333825242308,9987,8000,0.0030777936186745466,0.022919926685132753,0.19962033252472008,1.7990667650484615,200.0,0.8320840687456578,1.7236738459240706,0.03598133530096923,4.0,200,4,0.0064994619772447875,0.45722480531629184,2.992001889623477,CoevolvingPredatorPrey,False,0.37780402066017693,42.0,17.13
0.012105621361947717,3,False,0.005305096507072449,0.24577833712100983,0.7477530837059021,nan,0.834920346736908,0.3154274821281433,nan,3.256333437457215e-05,0.010543274932274862,0.009446243756068489,9987,8000,0.005172285376334565,0.06582164386787871,0.6723941880968274,0.6328983316565888,67.0,1.052171719466078,0.7720823917294211,0.0,0.0,200,0,0.011115287639200083,0.40238395459253573,0.4595098291890882,AtmosphericRegime,False,0.40618848151094505,43.0,14.27
0.008887698413968439,3,False,0.005442402791231871,0.2696792781352997,0.6583070755004883,nan,0.7894183993339539,0.6818938255310059,nan,3.522426405106671e-05,0.010543274932274862,0.009446243756068489,9987,8000,0.005298374243412112,0.06582164386787871,0.6723941880968274,0.6328983316565888,67.0,1.052171719466078,0.7720823917294211,0.0,0.0,200,1,0.01179767810934085,0.4101276732824258,0.4369451904056471,AtmosphericRegime,False,0.21726360638957526,23.0,15.13
0.00845321901505531,3,False,0.005368064623326063,0.23960019648075104,0.4919937551021576,nan,0.8121132254600525,0.217769056558609,nan,4.2308188450988384e-05,0.010543274932274862,0.009446243756068489,9987,8000,0.0052244042584002025,0.06582164386787871,0.6723941880968274,0.6328983316565888,67.0,1.052171719466078,0.7720823917294211,0.0,0.0,200,2,0.010649559561625823,0.35907882611647013,0.48861498917101837,AtmosphericRegime,False,0.12280116882889036,13.0,15.58
0.009496243160076296,3,False,0.007109757978469133,0.33922693133354187,0.5117635726928711,nan,0.8703767657279968,0.38066425919532776,nan,4.5668140868656337e-05,0.010543274932274862,0.009446243756068489,9987,8000,0.006921725911311047,0.06582164386787871,0.6723941880968274,0.6328983316565888,67.0,1.052171719466078,0.7720823917294211,0.0,0.0,200,3,0.01329373185632631,0.3761808354734949,0.43148048745871354,AtmosphericRegime,False,0.12280116882889036,13.0,16.62
0.009980901978999462,3,False,0.005671157035976648,0.23386700451374054,0.524109959602356,nan,0.8910130262374878,0.3034835159778595,nan,3.8216779241338375e-05,0.010543274932274862,0.009446243756068489,9987,8000,0.005519957812791084,0.06582164386787871,0.6723941880968274,0.6328983316565888,67.0,1.052171719466078,0.7720823917294211,0.0,0.0,200,4,0.010735684416372382,0.36487069541435724,0.40417199779212587,AtmosphericRegime,False,0.5289896503398354,56.0,15.38
