budget,corr_dim_pub,density_kl,dim,diverged,epochs,final_train_loss,kaplan_yorke_dim,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,seed,smape_1,smape_all,spectrum_error,system,vpt_lyap,vpt_steps,wall_s
1000,1.993931310517824,0.13679245852060415,3,False,200,0.00030852395039983094,2.075158758095728,0.8917098035724058,0.013382780732014665,1011,500,0.019045645182637242,0,0.062313803763002634,1.038358163802287,0.36427811250263104,Lorenz,0.2275072724442493,17.0,4.8
1000,1.993931310517824,0.06103295482746709,3,False,200,0.00020111172285396605,2.075158758095728,0.8917098035724058,0.013382780732014665,1011,500,0.01334733118631034,1,0.05195901468538369,0.9598659806823461,0.5267392917707899,Lorenz,0.25427283390827865,19.000000000000004,1.26
1000,1.993931310517824,0.10822469035365222,3,False,200,0.0002878987081348896,2.075158758095728,0.8917098035724058,0.013382780732014665,1011,500,0.0168386110451462,2,0.07145910347115836,1.2105662681982527,1.228514630263451,Lorenz,0.20074171098021998,15.0,1.09
2200,1.993931310517824,0.038037790471795174,3,False,200,0.0002150559276342392,2.075158758095728,0.8917098035724058,0.013382780732014665,2196,500,0.01425424708049973,0,0.05208280679116087,0.8634520391113464,0.45091539630020067,Lorenz,0.25427283390827865,19.000000000000004,1.3
2200,1.993931310517824,0.0846028051827795,3,False,200,0.0001936507463688031,2.075158758095728,0.8917098035724058,0.013382780732014665,2196,500,0.014250056359003607,1,0.04804533074474523,1.0154865436919884,0.9095555504229584,Lorenz,0.33456951830036663,25.0,1.3
2200,1.993931310517824,0.07906881655605773,3,False,200,0.00019971917860675604,2.075158758095728,0.8917098035724058,0.013382780732014665,2196,500,0.014382030140967117,2,0.048057956894059055,0.853169581095211,0.5575089899230418,Lorenz,0.24089005317626397,18.0,1.86
4600,1.993931310517824,0.0668860056339096,3,False,200,0.00019407122617121785,2.075158758095728,0.8917098035724058,0.013382780732014665,4611,500,0.01399189221968166,0,0.04212147946170172,1.003118740768375,0.951946468803906,Lorenz,0.2676556146402933,20.0,2.02
4600,1.993931310517824,0.04468679720332746,3,False,200,0.00017626367486082018,2.075158758095728,0.8917098035724058,0.013382780732014665,4611,500,0.012029197837350809,1,0.052247261711291314,0.7694188935388593,0.8592759898519216,Lorenz,0.28103839537230796,21.0,1.65
4600,1.993931310517824,0.021865786677992383,3,False,200,0.00020101449021603913,2.075158758095728,0.8917098035724058,0.013382780732014665,4611,500,0.013142314976784116,2,0.05207224001116619,0.8813220981295493,0.5213276722701223,Lorenz,0.24089005317626397,18.0,1.58
10000,1.993931310517824,0.06543429609558943,3,False,200,0.00019737761840224265,2.075158758095728,0.8917098035724058,0.013382780732014665,9987,500,0.01351636508949412,0,0.04359025664448202,0.8481075894924852,0.48352052504028703,Lorenz,0.24089005317626397,18.0,2.5
