budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
400,StandardMap,4.0690017427550625e-05,0.4,4.2933016514314314e-05,386,0.006453837730769195,0,5.13
400,StandardMap,5.827637452360553e-05,0.4,4.2933016514314314e-05,386,0.007722463921576788,1,2.02
3200,StandardMap,3.077801323646175e-06,0.4,4.2933016514314314e-05,3235,0.0017748306956095387,0,3.46
3200,StandardMap,4.6964676439529285e-06,0.4,4.2933016514314314e-05,3235,0.0021912353196466236,1,3.27
400,StandardMap,0.07215879368782044,5.0,0.40320335755915493,386,0.12581475341582465,0,2.03
400,StandardMap,0.06953837186098098,5.0,0.40320335755915493,386,0.12353168786694532,1,2.65
3200,StandardMap,0.00532480542982618,5.0,0.40320335755915493,3235,0.034311482784861694,0,3.48
3200,StandardMap,0.005522878757367532,5.0,0.40320335755915493,3235,0.034925989822131895,1,4.07
