cap_all,cap_max,cap_median,cap_min,family,knob,lyap,n_seeds_reaching,tolerance
"[3235.0, 3235.0]",3235.0,3235.0,3235.0,StandardMap,0.4,4.2933016514314314e-05,2,0.005
"[386.0, 386.0]",386.0,386.0,386.0,StandardMap,0.4,4.2933016514314314e-05,2,0.01
"[386.0, 386.0]",386.0,386.0,386.0,StandardMap,0.4,4.2933016514314314e-05,2,0.02
"[386.0, 386.0]",386.0,386.0,386.0,StandardMap,0.4,4.2933016514314314e-05,2,0.05
"[nan, nan]",nan,nan,nan,StandardMap,5.0,0.40320335755915493,0,0.005
"[nan, nan]",nan,nan,nan,StandardMap,5.0,0.40320335755915493,0,0.01
"[nan, nan]",nan,nan,nan,StandardMap,5.0,0.40320335755915493,0,0.02
"[3235.0, 3235.0]",3235.0,3235.0,3235.0,StandardMap,5.0,0.40320335755915493,2,0.05
