cap_all,cap_max,cap_median,cap_min,family,knob,lyap,n_seeds_reaching,tolerance
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.4,4.2933016514314314e-05,5,0.005
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.4,4.2933016514314314e-05,5,0.01
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.4,4.2933016514314314e-05,5,0.02
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.4,4.2933016514314314e-05,5,0.05
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.4,4.2933016514314314e-05,5,0.1
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.4,4.2933016514314314e-05,5,0.2
"[386.0, 386.0, 827.0, 386.0, 386.0]",827.0,386.0,386.0,StandardMap,0.9716,5.484558104139208e-05,5,0.005
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.9716,5.484558104139208e-05,5,0.01
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.9716,5.484558104139208e-05,5,0.02
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.9716,5.484558104139208e-05,5,0.05
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.9716,5.484558104139208e-05,5,0.1
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.9716,5.484558104139208e-05,5,0.2
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,2.0,4.2882529860498936e-05,5,0.005
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,2.0,4.2882529860498936e-05,5,0.01
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,2.0,4.2882529860498936e-05,5,0.02
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,2.0,4.2882529860498936e-05,5,0.05
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,2.0,4.2882529860498936e-05,5,0.1
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,2.0,4.2882529860498936e-05,5,0.2
"[386.0, 211.0, 386.0, 386.0, 211.0]",386.0,386.0,211.0,StandardMap,5.0,0.40320335755915493,5,0.005
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,5.0,0.40320335755915493,5,0.01
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,5.0,0.40320335755915493,5,0.02
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,5.0,0.40320335755915493,5,0.05
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,5.0,0.40320335755915493,5,0.1
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,5.0,0.40320335755915493,5,0.2
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.0,nan,5,0.005
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.0,nan,5,0.01
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.0,nan,5,0.02
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.0,nan,5,0.05
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.0,nan,5,0.1
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.0,nan,5,0.2
"[189.0, 393.0, 189.0, 189.0, 393.0]",393.0,189.0,189.0,HenonMap,1.12,nan,5,0.005
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.12,nan,5,0.01
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.12,nan,5,0.02
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.12,nan,5,0.05
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.12,nan,5,0.1
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.12,nan,5,0.2
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.24,nan,5,0.005
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.24,nan,5,0.01
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.24,nan,5,0.02
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.24,nan,5,0.05
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.24,nan,5,0.1
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.24,nan,5,0.2
"[393.0, 393.0, 393.0, 393.0, 393.0]",393.0,393.0,393.0,HenonMap,1.36,nan,5,0.005
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.36,nan,5,0.01
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.36,nan,5,0.02
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.36,nan,5,0.05
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.36,nan,5,0.1
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.36,nan,5,0.2
