budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
200,StandardMap,7.297417860172573e-07,0.4,4.2933016514314314e-05,211,0.0008636705785632788,0,15.1
200,StandardMap,5.304444207467896e-07,0.4,4.2933016514314314e-05,211,0.0007359996912412952,1,12.38
200,StandardMap,7.955110231705476e-07,0.4,4.2933016514314314e-05,211,0.0009014729262834242,2,12.14
200,StandardMap,1.6799687473394443e-06,0.4,4.2933016514314314e-05,211,0.0013101183887228953,3,12.04
200,StandardMap,4.800394542598952e-07,0.4,4.2933016514314314e-05,211,0.0007000603860777248,4,12.02
400,StandardMap,2.914104595674871e-07,0.4,4.2933016514314314e-05,386,0.0005454426273215505,0,12.0
400,StandardMap,4.1061935053221534e-07,0.4,4.2933016514314314e-05,386,0.000647535393553802,1,11.9
400,StandardMap,4.4576493428394317e-07,0.4,4.2933016514314314e-05,386,0.0006749708479425982,2,12.06
400,StandardMap,2.436676570596319e-07,0.4,4.2933016514314314e-05,386,0.0004988276580544515,3,12.21
400,StandardMap,1.6576593066019997e-07,0.4,4.2933016514314314e-05,386,0.0004115021512362159,4,12.14
800,StandardMap,1.838614351754586e-07,0.4,4.2933016514314314e-05,827,0.000433343062989401,0,13.14
800,StandardMap,3.098839488302474e-07,0.4,4.2933016514314314e-05,827,0.0005624611588028723,1,12.96
800,StandardMap,2.914415176746843e-07,0.4,4.2933016514314314e-05,827,0.0005456382723933622,2,13.02
800,StandardMap,3.02686369195726e-07,0.4,4.2933016514314314e-05,827,0.0005563241189870903,3,12.92
800,StandardMap,3.238808219521161e-07,0.4,4.2933016514314314e-05,827,0.000575061019262498,4,12.83
1600,StandardMap,1.9973260384631431e-07,0.4,4.2933016514314314e-05,1586,0.000451702033960927,0,13.25
1600,StandardMap,2.014210372180969e-07,0.4,4.2933016514314314e-05,1586,0.0004534251997084885,1,13.5
1600,StandardMap,1.641397500407038e-07,0.4,4.2933016514314314e-05,1586,0.0004093901379655125,2,13.3
1600,StandardMap,1.5073868610215867e-07,0.4,4.2933016514314314e-05,1586,0.00039243917584112206,3,13.11
1600,StandardMap,1.4366444770530505e-07,0.4,4.2933016514314314e-05,1586,0.0003830145748615084,4,13.04
3200,StandardMap,1.988305223221687e-07,0.4,4.2933016514314314e-05,3235,0.00045062301372055777,0,14.05
3200,StandardMap,2.4065720845101166e-07,0.4,4.2933016514314314e-05,3235,0.0004957026341547015,1,14.44
3200,StandardMap,1.7184711657591833e-07,0.4,4.2933016514314314e-05,3235,0.0004188636502130791,2,14.24
3200,StandardMap,1.823222439725214e-07,0.4,4.2933016514314314e-05,3235,0.0004314950293056637,3,14.39
3200,StandardMap,1.796853210862537e-07,0.4,4.2933016514314314e-05,3235,0.00042827603809028576,4,14.28
6400,StandardMap,1.8227193766051641e-07,0.4,4.2933016514314314e-05,6386,0.0004313647758327638,0,15.96
6400,StandardMap,2.1132483539076928e-07,0.4,4.2933016514314314e-05,6386,0.0004646845323904227,1,15.85
6400,StandardMap,1.8026588793418342e-07,0.4,4.2933016514314314e-05,6386,0.0004290350456184288,2,15.73
6400,StandardMap,1.0496034519746899e-07,0.4,4.2933016514314314e-05,6386,0.00032763872051500145,3,15.94
6400,StandardMap,9.729657932666668e-08,0.4,4.2933016514314314e-05,6386,0.00031525498782423626,4,17.51
12800,StandardMap,1.3248917809960403e-07,0.4,4.2933016514314314e-05,12755,0.0003679247718272975,0,18.59
12800,StandardMap,1.5841066124266945e-07,0.4,4.2933016514314314e-05,12755,0.00040217316560532603,1,18.62
12800,StandardMap,1.136896826778866e-07,0.4,4.2933016514314314e-05,12755,0.0003407756043305868,2,18.91
12800,StandardMap,1.81303652425413e-07,0.4,4.2933016514314314e-05,12755,0.00043032966390273494,3,19.03
