best_steps,combo,cond_frac,cond_mode,dataset,err_both,err_global_only,err_local_only,global,global_lift,local,local_lift,modality,n_params,ordered,scale,seed,train_loss,train_s
8,depthwise+attention,0.3,random,lorenz_state,0.9935367808944147,1.0492586195740465,1.00391492409383,attention,1.0104456557613022,depthwise,1.0560843239537334,chaos,12914,False,1.0234,1,0.013467994537098672,61.6
16,depthwise+attention,0.3,block,lorenz_state,0.884845546374836,1.0101490751567312,0.9087070791996043,attention,1.026966890348861,depthwise,1.1416106226620646,chaos,12914,False,1.0234,1,0.013467994537098672,61.6
8,depthwise+attention,0.6,random,lorenz_state,1.0261271157226703,1.0366229697437077,1.0378035357144413,attention,1.0113791164982007,depthwise,1.0102286099453142,chaos,12914,False,1.0234,1,0.013467994537098672,61.6
8,depthwise+spectral,0.3,random,lorenz_state,0.9740629753331215,1.0563026414589078,0.9798904706606745,spectral,1.005982667933313,depthwise,1.0844295165799327,chaos,12875,False,1.4687,1,0.013411567176014862,50.1
8,depthwise+spectral,0.3,block,lorenz_state,0.8914965978323892,1.040750607347772,0.8973446318891054,spectral,1.0065597940260627,depthwise,1.1674196063992652,chaos,12875,False,1.4687,1,0.013411567176014862,50.1
8,depthwise+spectral,0.6,random,lorenz_state,1.0107719343947543,1.0439919592995508,1.017286242142049,spectral,1.0064448838809472,depthwise,1.032865994567497,chaos,12875,False,1.4687,1,0.013411567176014862,50.1
8,depthwise+tokenmix,0.3,random,lorenz_state,0.5570176583670581,1.0105729985935135,1.1701521715851837,tokenmix,2.1007451990221973,depthwise,1.8142566638840305,chaos,13087,False,1.6641,1,0.005136864979497411,54.4
16,depthwise+tokenmix,0.3,block,lorenz_state,0.45838006310288365,1.0313017881995712,1.3215758248405924,tokenmix,2.8831442098387337,depthwise,2.2498836036158383,chaos,13087,False,1.6641,1,0.005136864979497411,54.4
8,depthwise+tokenmix,0.6,random,lorenz_state,0.6014917939038585,0.9734537597026025,1.1301708742908803,tokenmix,1.8789464557043065,depthwise,1.6183990697272883,chaos,13087,False,1.6641,1,0.005136864979497411,54.4
8,gru+none,0.3,random,lorenz_state,0.8052095109462606,nan,0.8052095109462606,none,1.0,gru,nan,chaos,13076,False,2.0375,1,0.009135108367031948,41.5
8,gru+none,0.3,block,lorenz_state,0.5169183651986831,nan,0.5169183651986831,none,1.0,gru,nan,chaos,13076,False,2.0375,1,0.009135108367031948,41.5
8,gru+none,0.6,random,lorenz_state,0.920309458032538,nan,0.920309458032538,none,1.0,gru,nan,chaos,13076,False,2.0375,1,0.009135108367031948,41.5
8,gru+pooled,0.3,random,lorenz_state,0.853054048062089,0.9105554685519184,1.2361294099147278,pooled,1.449063412479999,gru,1.067406538449067,chaos,13056,False,0.9922,1,0.009555003145413304,55.9
16,gru+pooled,0.3,block,lorenz_state,0.5405374375091584,0.7485694146803249,1.5896910733801914,pooled,2.9409453685680322,gru,1.3848613671049228,chaos,13056,False,0.9922,1,0.009555003145413304,55.9
8,gru+pooled,0.6,random,lorenz_state,0.9590812620986644,1.009967274916482,1.0807027819164545,pooled,1.126810443102243,gru,1.0530570399284715,chaos,13056,False,0.9922,1,0.009555003145413304,55.9
8,gru+attention,0.3,random,lorenz_state,0.8401354693606343,0.9832553589583957,0.8073381962717705,attention,0.9609619230648321,gru,1.1703533475460564,chaos,13007,False,0.9141,1,0.008984432219718159,68.6
8,gru+attention,0.3,block,lorenz_state,0.5274336386491116,0.8168964193220231,0.5353400870462881,attention,1.0149904136137902,gru,1.5488136505936507,chaos,13007,False,0.9141,1,0.008984432219718159,68.6
8,gru+attention,0.6,random,lorenz_state,0.9454036556384768,1.0628071982089187,0.91385234011532,attention,0.9666266199258045,gru,1.1241835081451568,chaos,13007,False,0.9141,1,0.008984432219718159,68.6
8,gru+spectral,0.3,random,lorenz_state,0.8527184320309922,1.1956354715741742,0.8127670359464905,spectral,0.9531481968915038,gru,1.4021456868551876,chaos,13051,False,1.2266,1,0.009757913543250073,56.5
8,gru+spectral,0.3,block,lorenz_state,0.5614699423845675,1.1823412808841622,0.5231031476149738,spectral,0.9316672329659365,gru,2.1057962174479883,chaos,13051,False,1.2266,1,0.009757913543250073,56.5
8,gru+spectral,0.6,random,lorenz_state,0.9516449163428448,1.1828462339421641,0.9184821396660514,spectral,0.9651521527543726,gru,1.2429491437707902,chaos,13051,False,1.2266,1,0.009757913543250073,56.5
16,gru+tokenmix,0.3,random,lorenz_state,0.47423959233572127,2.338265551461631,1.451798152094606,tokenmix,3.0613178982889653,gru,4.93055744237891,chaos,13065,False,1.3672,1,0.004337866660948334,61.0
16,gru+tokenmix,0.3,block,lorenz_state,0.4231744046136082,2.320311899215355,1.67859443466757,tokenmix,3.966672880889996,gru,5.483110211578093,chaos,13065,False,1.3672,1,0.004337866660948334,61.0
16,gru+tokenmix,0.6,random,lorenz_state,0.5382182393852066,2.415516440454365,1.2793273716747249,tokenmix,2.3769677020534807,gru,4.487986960853556,chaos,13065,False,1.3672,1,0.004337866660948334,61.0
16,fixed+none,0.3,random,digits_8x8,0.561337266232481,nan,0.561337266232481,none,1.0,fixed,nan,image,13151,True,1.4896,1,0.015204957347701897,103.9
8,fixed+none,0.3,block,digits_8x8,0.8331008734954405,nan,0.8331008734954405,none,1.0,fixed,nan,image,13151,True,1.4896,1,0.015204957347701897,103.9
16,fixed+none,0.6,random,digits_8x8,0.6733301197452167,nan,0.6733301197452167,none,1.0,fixed,nan,image,13151,True,1.4896,1,0.015204957347701897,103.9
8,fixed+pooled,0.3,random,digits_8x8,0.5877137667503622,1.1466139819285124,0.6301408468067261,pooled,1.0721900395339645,fixed,1.9509734955988347,image,13238,True,0.9792,1,0.01595866468481042,121.7
8,fixed+pooled,0.3,block,digits_8x8,0.8513273219256313,1.2678515593608977,0.9164338811795374,pooled,1.0764765297402183,fixed,1.4892645011006147,image,13238,True,0.9792,1,0.01595866468481042,121.7
16,fixed+pooled,0.6,random,digits_8x8,0.6905346750194247,1.6916163137679976,0.9007290658774941,pooled,1.3043936799439604,fixed,2.4497195795713123,image,13238,True,0.9792,1,0.01595866468481042,121.7
8,fixed+attention,0.3,random,digits_8x8,0.5926426880660015,0.9222956356033677,0.5994682286318618,attention,1.0115171260918352,fixed,1.5562423264060474,image,13114,True,0.9141,1,0.016164666422727434,143.3
8,fixed+attention,0.3,block,digits_8x8,0.8417225356472408,1.0386355375051828,0.8536253358180218,attention,1.0141410021315735,fixed,1.2339405130771819,image,13114,True,0.9141,1,0.016164666422727434,143.3
8,fixed+attention,0.6,random,digits_8x8,0.7152189269511005,0.9546090232347767,0.7322089859426508,attention,1.0237550466735788,fixed,1.3347088384589736,image,13114,True,0.9141,1,0.016164666422727434,143.3
8,fixed+spectral,0.3,random,digits_8x8,0.6087964481996719,1.0376523749876643,0.6225541211364384,spectral,1.0225981491473062,fixed,1.7044323731785915,image,12573,True,0.8437,1,0.01682211048054424,136.6
8,fixed+spectral,0.3,block,digits_8x8,0.8572242558134802,1.0447269513809192,0.8878575453905234,spectral,1.0357354442192879,fixed,1.2187323728835748,image,12573,True,0.8437,1,0.01682211048054424,136.6
8,fixed+spectral,0.6,random,digits_8x8,0.7343511629325116,1.0396321346810067,0.784042625706674,spectral,1.067667166993687,fixed,1.415715242458942,image,12573,True,0.8437,1,0.01682211048054424,136.6
16,fixed+tokenmix,0.3,random,digits_8x8,0.532755537906849,0.8844246376043741,0.6013946169625596,tokenmix,1.1288378518323574,fixed,1.6600946863531496,image,13269,True,1.2188,1,0.013821988705207,168.0
