best_steps,combo,cond_frac,cond_mode,dataset,err_both,err_global_only,err_local_only,global,global_lift,local,local_lift,modality,n_params,ordered,scale,seed,train_loss,train_s
16,fixed+none,0.3,random,cml_lattice,0.6292253783536538,nan,0.6292253783536538,none,1.0,fixed,nan,chaos,12983,True,1.5729,0,0.006675937699831345,75.7
16,fixed+none,0.3,block,cml_lattice,0.9610859687874342,nan,0.9610859687874342,none,1.0,fixed,nan,chaos,12983,True,1.5729,0,0.006675937699831345,75.7
16,fixed+none,0.6,random,cml_lattice,0.824999085340554,nan,0.824999085340554,none,1.0,fixed,nan,chaos,12983,True,1.5729,0,0.006675937699831345,75.7
16,fixed+pooled,0.3,random,cml_lattice,0.6436847388929159,1.0473543009039967,0.7050168039720257,pooled,1.0952827702340682,fixed,1.6271230893330777,chaos,12922,True,1.0104,0,0.006865658776157282,90.4
16,fixed+pooled,0.3,block,cml_lattice,0.9615599005798154,1.0306265872625333,0.9917559001440699,pooled,1.031403139363493,fixed,1.0718277526351412,chaos,12922,True,1.0104,0,0.006865658776157282,90.4
16,fixed+pooled,0.6,random,cml_lattice,0.8327341471311405,1.0608850158853376,0.8779439902354065,pooled,1.054290848117636,fixed,1.273978039137943,chaos,12922,True,1.0104,0,0.006865658776157282,90.4
8,fixed+attention,0.3,random,cml_lattice,0.6435363597970076,1.0810761528812798,0.6586068332865741,attention,1.0234182160186258,fixed,1.6798991019284233,chaos,12986,True,0.9687,0,0.006884278517893769,123.8
16,fixed+attention,0.3,block,cml_lattice,0.959160245563618,1.011204144990093,0.985051948757735,attention,1.0269941371255464,fixed,1.0542598587328786,chaos,12986,True,0.9687,0,0.006884278517893769,123.8
8,fixed+attention,0.6,random,cml_lattice,0.8330120935809212,1.092889993790662,0.8426393581913741,attention,1.0115571726804922,fixed,1.311973742292969,chaos,12986,True,0.9687,0,0.006884278517893769,123.8
16,fixed+spectral,0.3,random,cml_lattice,0.6349344559825372,1.0083065549946104,0.6843887119717967,spectral,1.077888757687171,fixed,1.58804825520816,chaos,12613,True,0.9687,0,0.006740905979478901,82.8
16,fixed+spectral,0.3,block,cml_lattice,0.967216992959944,1.0127344548431436,0.9645175113449386,spectral,0.9972090217245415,fixed,1.047060237996754,chaos,12613,True,0.9687,0,0.006740905979478901,82.8
16,fixed+spectral,0.6,random,cml_lattice,0.8262365472539016,1.0176492719500774,0.8530012574677929,spectral,1.0323935201158156,fixed,1.2316681891310175,chaos,12613,True,0.9687,0,0.006740905979478901,82.8
16,fixed+tokenmix,0.3,random,cml_lattice,0.6336338321994333,1.0093914196382363,0.6623472896754594,tokenmix,1.0453155371712992,fixed,1.5930200824891168,chaos,12936,True,1.2734,0,0.006694374394349076,111.1
8,fixed+tokenmix,0.3,block,cml_lattice,0.9623390349450013,1.0811262592218658,0.970034616273832,tokenmix,1.007996746520077,fixed,1.1234359409349464,chaos,12936,True,1.2734,0,0.006694374394349076,111.1
