err_direct,err_parrot,err_refine,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,params_direct,params_refine,passes,seed,system,train_passes
0.9772685170173645,0.6173224009683986,0.9938591122627258,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,1,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.9765945076942444,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,2,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.9747817516326904,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,3,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.976954996585846,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,4,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.9763144850730896,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,5,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.977165937423706,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,6,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.9767844080924988,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,7,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.9770333170890808,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,8,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.9769309759140015,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,9,0,Lorenz,4
0.9772685170173645,0.6173224009683986,0.9769708514213562,0.5352288484573364,32,2.075158758095728,0.8917098035724058,2.1412449171223464,19859,20103,10,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9597452878952026,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,1,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.966597855091095,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,2,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9655366539955139,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,3,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9661401510238647,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,4,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9666163325309753,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,5,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9666025042533875,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,6,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9668057560920715,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,7,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9667702317237854,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,8,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9668295383453369,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,9,0,Lorenz,4
0.9646328091621399,1.3613079613952075,0.9668157696723938,1.3419995307922363,128,2.075158758095728,0.8917098035724058,8.564979668489386,19859,20103,10,0,Lorenz,4
