arch,dataset,frac_affected_final,frac_affected_step1,frac_curve,global_share_final,global_share_mean,has_global,knockout_ratio,memory_ratio,modality,n_cells,n_params,nrmse_global_off,nrmse_global_on,nrmse_intact,nrmse_wiped,ordered,radius_curve,radius_step1,scale,seed,steps_to_cover
A2_pooled,eca_rule110,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.022538355386978733,0.04429393273356784,True,0.9999250540148157,1.0015016052762047,ca,64,13046,0.9791621720938838,0.9792355618677955,0.9782939865341682,0.9797629979460273,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,2,1
A3_attentive,eca_rule110,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.6924324684815443,0.7838049441995758,True,0.9951730561618356,0.9813223524712139,ca,64,13163,0.9885230714974453,0.9933177605410282,1.0248541424855375,1.0057122780437764,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,1,1
A4_interleaved,eca_rule110,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.2727326457008928,0.2291578526754452,True,1.0045725510269878,0.9997360125278226,ca,64,12795,0.9758874531005097,0.9714454691230086,0.9786068764131647,0.978348536457605,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,0,1
A4_interleaved,eca_rule110,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.6752209665014354,0.4676546910531678,True,0.9998845007306542,1.002846522888106,ca,64,12795,0.9550066475490853,0.9551169628604355,0.9550807101633412,0.9577993692648098,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,2,1
A1_local,digits_8x8,1.0,0.140625,0.1406;0.3906;0.7656;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.0,0.0,False,1.0,1.275395037375736,image,64,13088,0.5567179393377193,0.5567179393377193,0.6245761522307652,0.7965813250183501,True,1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4,1.0,0.7305,1,4
A2_pooled,digits_8x8,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.8734211542870236,0.8408892054842723,True,1.2497801177707113,1.2713633076194677,image,64,13016,0.7314594257602323,0.5852704930727888,0.6668330926077899,0.8477871262479586,True,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,4.0,0.6016,0,1
A2_pooled,digits_8x8,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.9744472102185645,0.597384325403814,True,1.158541459034869,1.2940837885123588,image,64,13016,0.6538858201382257,0.5644043336031753,0.6484318956931892,0.8391252041708929,True,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,4.0,0.6016,2,1
A3_attentive,digits_8x8,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.6346008325275788,0.7156399942185441,True,1.4369755210038249,0.9746257532651937,image,64,13016,0.8693894822008769,0.6050134254155904,0.6418606982089414,0.6255739664832127,True,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,4.0,0.543,1,1
A4_interleaved,digits_8x8,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.5520403340916756,0.5652331775170965,True,1.1068611117792964,1.1195168578479158,image,64,12949,0.5596246381171454,0.5055960790035708,0.5294874067644273,0.5927700778909529,True,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,4.0,0.5742,0,1
A4_interleaved,digits_8x8,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,1.187790864611568,1.0514368812725297,True,1.1872925227834612,1.1768811338346623,image,64,12949,0.5845877257991018,0.49237042647974216,0.5652140762904511,0.6651897829640174,True,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,4.0,0.5742,2,1
