dataset,optimizer,seed,train_loss,train_wall_s,nrmse_hidden,best_steps
digits_8x8,adamw,0,0.019456415860490364,85.93,0.6381887978162992,8
digits_8x8,adamw,1,0.018506889570165764,83.29,0.6246841905664323,8
digits_8x8,nadam,0,0.051532582295211876,85.23,1.0053407275971937,32
digits_8x8,nadam,1,0.020871795459904453,82.99,0.6709198283923687,8
digits_8x8,radam,0,0.05154533972117034,110.0,1.0039786107401014,32
digits_8x8,radam,1,0.030544330111958763,128.39,0.8353043030669602,16
digits_8x8,adamax,0,0.05154698511416262,120.66,1.0038806725699037,32
digits_8x8,adamax,1,0.05020708133551208,110.92,1.0140442865557926,32
digits_8x8,sgdm,0,0.05154940096492117,125.93,1.003385100723906,32
digits_8x8,sgdm,1,0.05019629509611563,86.73,1.0133198263840881,32
