arch,best_steps,cond_frac,cond_mode,cond_noise,dataset,epochs,hidden_frac,infer_wall_s,kind,mae_all,mae_hidden,method,modality,mse_all,mse_hidden,n_cells,n_params,nrmse_all,nrmse_hidden,optimizer,ordered,overrun_ratio,rel_l2_all,rel_l2_hidden,scale,seed,steps,train_loss,train_wall_s,vpt_steps
A1_local,8,0.1,random,0.0,cml_lattice,40,0.1003,0.153,learned,0.01831160858273506,0.17865830175191885,A1_local,chaos,0.004965116735547781,0.049466295409661576,64,13215,0.318581198865777,1.0055649185263362,adamw,True,1.0258,0.09977525509485136,0.3125313481624531,0.7422,1,1,0.00623677592639896,97.03,0
A1_local,8,0.1,random,0.0,cml_lattice,40,0.1003,0.153,learned,0.01467078272253275,0.13945398399780365,A1_local,chaos,0.003258239012211561,0.03244306437770018,64,13215,0.2580755731862311,0.814359851233256,adamw,True,1.0258,0.08082571910132191,0.2531044764054569,0.7422,1,2,0.00623677592639896,97.03,0
A1_local,8,0.1,random,0.0,cml_lattice,40,0.1003,0.153,learned,0.011472445912659168,0.10404628551336308,A1_local,chaos,0.0018380642868578434,0.01827354760721614,64,13215,0.19383659539920695,0.6111767921822834,adamw,True,1.0258,0.06070695616742819,0.18995482370870895,0.7422,1,4,0.00623677592639896,97.03,0
A1_local,8,0.1,random,0.0,cml_lattice,40,0.1003,0.153,learned,0.009834599681198597,0.08344452712156368,A1_local,chaos,0.0011407454730942845,0.011311807702268315,64,13215,0.15270378246516325,0.4808630724497897,adamw,True,1.0258,0.047824725756659525,0.14945309004466442,0.7422,1,8,0.00623677592639896,97.03,0
A1_local,8,0.1,random,0.0,cml_lattice,40,0.1003,0.153,learned,0.011307328939437866,0.08431986847757056,A1_local,chaos,0.0011873136973008513,0.011657110060714388,64,13215,0.1557894933630449,0.488147274280268,adamw,True,1.0258,0.048791130199180605,0.15171703280601598,0.7422,1,16,0.00623677592639896,97.03,0
A1_local,8,0.1,random,0.0,cml_lattice,40,0.1003,0.153,learned,0.01675662025809288,0.08575544191273025,A1_local,chaos,0.0012984579661861062,0.011902755454344825,64,13215,0.16291811108054396,0.493263722051766,adamw,True,1.0258,0.05102371374064606,0.15330723378694566,0.7422,1,32,0.00623677592639896,97.03,0
A1_local,8,0.3,random,0.0,cml_lattice,40,0.3026,0.158,learned,0.05746551975607872,0.18894560583117032,A1_local,chaos,0.01595900021493435,0.052730051462080825,64,13215,0.5711605968944934,1.038208350785311,adamw,True,1.0108,0.1788796415388737,0.3259367400681595,0.7422,1,1,0.00623677592639896,97.03,0
A1_local,8,0.3,random,0.0,cml_lattice,40,0.3026,0.158,learned,0.04743774235248566,0.15511851185037762,A1_local,chaos,0.01128111407160759,0.03726983554843741,64,13215,0.480210225695367,0.8728390308637064,adamw,True,1.0108,0.15039524251464564,0.2740204392584368,0.7422,1,2,0.00623677592639896,97.03,0
A1_local,8,0.3,random,0.0,cml_lattice,40,0.3026,0.158,learned,0.038942284882068634,0.1260456659682796,A1_local,chaos,0.007580683566629887,0.025036787244903595,64,13215,0.3936494039803412,0.7153930548249672,adamw,True,1.0108,0.12328558244936107,0.22459160531763941,0.7422,1,4,0.00623677592639896,97.03,0
A1_local,8,0.3,random,0.0,cml_lattice,40,0.3026,0.158,learned,0.0350535623729229,0.1119186434178464,A1_local,chaos,0.005910293664783239,0.01951042311020435,64,13215,0.3475841460272722,0.6315224066260013,adamw,True,1.0108,0.1088585768523673,0.19826112392563675,0.7422,1,8,0.00623677592639896,97.03,0
