arch,dataset,decay_per_cell,frac_affected_final__thresholded,frac_affected_step1__thresholded,frac_curve,global_share_final,global_share_mean,has_global,knockout_ratio,lightcone_leak_final,lightcone_leak_step1,memory_ratio,modality,n_cells,n_params,nrmse_global_off,nrmse_global_on,nrmse_intact,nrmse_wiped,ordered,radius_curve,radius_step1__thresholded,scale,seed,steps_to_cover__thresholded
A5_transformer,cml_lattice,0.20330213863055838,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,1.7315091042705475,1.1617741925374885,True,1.0536969721364662,0.0,0.13319388636019153,0.9470429981734021,chaos,64,14479,0.6520233365493865,0.6187958718599618,0.7838684166732601,0.7423570954996819,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.9875,1,1
A6_graph,cml_lattice,0.1297901778103133,0.578125,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2344;0.2500;0.2812;0.3125;0.3281;0.3594;0.3750;0.3906;0.4062;0.4219;0.4375;0.4375;0.4688;0.4688;0.4844;0.4844;0.4844;0.5000;0.5312;0.5312;0.5469;0.5469;0.5625;0.5625;0.5781;0.5781,0.0,0.0,False,1.0,0.0,0.0,0.689617246629563,chaos,64,13108,0.6283227437272935,0.6283227437272935,0.9606964063310623,0.6625128105809431,True,1;2;3;4;5;6;7;8;9;10;11;12;12;13;13;14;14;14;15;15;15;15;15;16;17;17;18;18;18;18;19;19,1.0,1.0375,0,nan
A6_graph,cml_lattice,0.25771016600747326,0.46875,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2344;0.2656;0.2969;0.3125;0.3438;0.3594;0.3750;0.3906;0.4062;0.4062;0.4219;0.4375;0.4375;0.4375;0.4219;0.4375;0.4375;0.4375;0.4375;0.4375;0.4375;0.4531;0.4688;0.4688;0.4688;0.4688,0.0,0.0,False,1.0,0.0,0.0,0.9448850654685723,chaos,64,13108,0.6129278174793198,0.6129278174793198,0.6835962655601278,0.6459199021378529,True,1;2;3;4;5;6;7;8;9;10;11;11;12;12;13;13;13;14;14;14;13;14;14;14;14;14;14;14;15;15;15;15,1.0,1.0375,2,nan
A7_recurrent,cml_lattice,0.49362616308121876,0.375,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2344;0.2656;0.2812;0.2812;0.3125;0.3125;0.3125;0.3125;0.3281;0.3281;0.3281;0.3281;0.3281;0.3281;0.3281;0.3281;0.3438;0.3438;0.3438;0.3594;0.3594;0.3594;0.3594;0.3594;0.3750;0.3750,0.0,0.0,False,1.0,0.0,0.0,0.7940014245747196,chaos,64,13038,0.6284937030866491,0.6284937030866491,0.8315926126874781,0.6602857191396706,True,1;2;3;4;5;6;7;8;9;9;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;11;11;11;11;11;12;12,1.0,2.6146,1,nan
A8_spectral,cml_lattice,0.2357917879296044,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.09388428897596603,0.08367800086816488,True,1.0248319404743051,0.0,0.031026488129531828,1.0053460351858245,chaos,64,13835,0.6511801713144821,0.6354019089345593,0.7813819859933955,0.7855592815840856,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.8036,0,1
A8_spectral,cml_lattice,0.2399208642171621,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.07274543833071352,0.0639326648975618,True,0.9812256408295041,0.0,0.018660971226573796,0.769014011310947,chaos,64,13835,0.6159012312027966,0.6276856266027953,0.980395913057834,0.7539381937734634,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.8036,2,1
A5_transformer,cml_timewindow,0.4227367027052545,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.8594701320194698,0.8274948158889819,True,3.3689119079883607,0.0,0.027636150820780764,1.3656768082351083,chaos,64,14479,0.9820705890683394,0.29150972654988533,0.34149941792392546,0.4663778350844939,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.9875,1,1
A6_graph,cml_timewindow,0.10382640731025602,0.53125,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2344;0.2656;0.2969;0.3281;0.3594;0.3750;0.3750;0.3750;0.3750;0.3906;0.4062;0.3906;0.4062;0.4062;0.4219;0.4219;0.4219;0.4219;0.4375;0.4688;0.4688;0.4844;0.5000;0.5156;0.5312;0.5312,0.0,0.0,False,1.0,0.0,0.0,0.7241779373201181,chaos,64,13108,0.44683305552493296,0.44683305552493296,0.6661209740817479,0.48239011301618806,True,1;2;3;4;5;6;7;8;9;10;11;12;12;12;12;12;13;12;13;13;13;13;13;13;14;15;15;16;16;17;17;17,1.0,1.0375,0,nan
A6_graph,cml_timewindow,0.029034571065093568,0.609375,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2344;0.2500;0.2656;0.2812;0.2969;0.3125;0.3125;0.3281;0.3281;0.3438;0.3594;0.3594;0.3750;0.3906;0.3906;0.3906;0.4219;0.4062;0.4219;0.4531;0.4688;0.4844;0.5156;0.5469;0.5781;0.6094,0.0,0.0,False,1.0,0.0,0.0,0.8588560481542803,chaos,64,13108,0.49131409880637383,0.49131409880637383,0.5794526005620666,0.4976663706114572,True,1;2;3;4;5;6;7;8;8;9;10;10;10;11;10;11;12;12;12;13;13;13;14;13;14;15;15;15;16;17;18;19,1.0,1.0375,2,nan
A7_recurrent,cml_timewindow,0.3910411010851467,0.40625,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2188;0.2500;0.2500;0.2656;0.2812;0.2969;0.2969;0.2969;0.2969;0.3281;0.3281;0.3281;0.3594;0.3594;0.3594;0.3594;0.3750;0.3750;0.3750;0.3750;0.3750;0.4062;0.4062;0.4062;0.4062;0.4062,0.0,0.0,False,1.0,0.0,0.0,1.269472915178148,chaos,64,13038,0.372462572231642,0.372462572231642,0.37296421616747294,0.4734679707552549,True,1;2;3;4;5;6;7;8;8;9;9;10;10;10;10;11;11;11;12;12;12;12;13;13;13;13;13;14;14;14;14;14,1.0,2.6146,1,nan
