arch,dataset,decay_per_cell,frac_affected_final__thresholded,frac_affected_step1__thresholded,frac_curve,global_share_final,global_share_mean,has_global,knockout_ratio,lightcone_leak_final,lightcone_leak_step1,memory_ratio,modality,n_cells,n_params,nrmse_global_off,nrmse_global_on,nrmse_intact,nrmse_wiped,ordered,radius_curve,radius_step1__thresholded,scale,seed,steps_to_cover__thresholded
A1_local,cml_lattice,0.2169575329843604,0.375,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2344;0.2656;0.2969;0.3125;0.3281;0.3438;0.3594;0.3594;0.3750;0.3750;0.3750;0.3906;0.3906;0.3906;0.4062;0.4062;0.4219;0.4219;0.4219;0.4219;0.3906;0.3906;0.3906;0.3906;0.3750;0.3750,0.0,0.0,False,1.0,0.0,0.0,1.047411091792175,chaos,64,13215,0.6340336853146609,0.6340336853146609,0.6543331520336353,0.6853558011673653,True,1;2;3;4;5;6;7;8;9;10;10;11;11;11;12;12;12;13;13;13;14;14;15;15;15;15;14;17;17;17;17;17,1.0,0.7422,1,nan
A2_pooled,cml_lattice,0.07537832153076036,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.4209387995375318,0.47696986138023173,True,1.0374426565114245,0.0,0.4005160687564951,1.4885216664310927,chaos,64,13046,0.6581306966559403,0.6343779027450206,0.6599382338644632,0.9823323596135228,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,0,1
A2_pooled,cml_lattice,0.15983435974679788,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.3218966995953838,0.3944002835043372,True,1.0229017062470116,0.0,0.4342983306876489,1.0450769370200135,chaos,64,13046,0.6619285409583425,0.6471086487742148,0.6894684057621483,0.7205475296659778,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,2,1
A3_attentive,cml_lattice,0.6128634479417177,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,1.8093204857679317,1.5799694637533683,True,1.4219062591841212,0.0,0.11294555783827341,0.9533763802312779,chaos,64,13163,0.881437069066808,0.6198981566988598,0.7568380592826428,0.7215515293801513,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,1,1
A4_interleaved,cml_lattice,0.07740128446811523,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.2484158018087126,0.2478440848884994,True,0.9956472004914327,0.0,0.21986264546358414,0.9617740046721565,chaos,64,12795,0.6440194348993092,0.6468349778731195,0.7350400434519937,0.7069424061852199,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,0,1
A4_interleaved,cml_lattice,0.08838929438765042,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.13928062998074006,0.12023766186842505,True,1.0033472602432456,0.0,0.12870184592141398,1.0230926269830882,chaos,64,12795,0.605565553983614,0.6035453306931882,0.6495893356300658,0.664590059849963,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,2,1
A1_local,cml_timewindow,0.8649780118550613,0.1875,0.046875,0.0469;0.0781;0.0938;0.1094;0.1094;0.1250;0.1250;0.1250;0.1250;0.1250;0.1250;0.1250;0.1406;0.1406;0.1406;0.1562;0.1562;0.1562;0.1562;0.1562;0.1719;0.1719;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875,0.0,0.0,False,1.0,0.0,0.0,0.9534725089295673,chaos,64,13215,0.43184702256374524,0.43184702256374524,0.7351300157614328,0.7009262605174856,True,1;2;3;3;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6,1.0,0.7422,1,nan
A2_pooled,cml_timewindow,-0.060838595762940845,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.2725206851838132,0.43352483618582366,True,1.0728453966992333,0.0,0.46914551602326554,1.851981308781507,chaos,64,13046,0.4606378000676595,0.42936083939482744,0.6099689228609864,1.1296510440761356,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,0,1
A2_pooled,cml_timewindow,0.3485957204480161,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.11188872438006436,0.15971682452784566,True,1.1453456641657058,0.0,0.4099867155233675,0.8089508772037652,chaos,64,13046,0.5032945364501408,0.4394258887920541,1.393378842041966,1.127175036547015,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,2,1
A3_attentive,cml_timewindow,0.553179506266291,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.5160897716652415,0.6168267307560712,True,2.3869026861801688,0.0,0.006956139311851494,0.924993906759596,chaos,64,13163,1.0565837827054965,0.4426589273299528,0.7916684597683946,0.7322885014595194,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,1,1
A4_interleaved,cml_timewindow,0.21548826929217246,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.27843174277591526,0.23528475558189862,True,1.0920688975820607,0.0,0.05023347623014891,1.4153676696089397,chaos,64,12795,0.37336840422685275,0.341890887153296,0.6013300889274593,0.8511031666309946,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,0,1
A4_interleaved,cml_timewindow,0.42198476241128546,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.22433000251137947,0.20575295738086358,True,1.1560614683852566,0.0,0.07763723687649227,1.5238663464216184,chaos,64,12795,0.40407364750331626,0.34952609230001513,0.7044280306767936,1.0734541694244213,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,2,1
A1_local,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.0,0.0,False,1.0,0.0,0.0,0.9361376317862395,chaos,3,13215,0.9234536812750674,0.9234536812750674,0.9419924470517593,0.8818345785435586,False,1;1;1;1;1;1,1.0,0.7422,1,1
A2_pooled,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.28905250878161487,0.28511433720418,True,1.1417798581879568,0.0,0.0,1.0118392325342922,chaos,3,13046,0.99492581005473,0.8713814689582201,0.8720719758466171,0.8823966387553048,False,1;1;1;1;1;1,1.0,0.6133,0,1
A2_pooled,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.545816647192642,0.4418378567153417,True,1.2252647441317395,0.0,0.0,0.9864223866778363,chaos,3,13046,0.995555564546766,0.8125228195088952,0.825756245192896,0.8145444461973051,False,1;1;1;1;1;1,1.0,0.6133,2,1
A3_attentive,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,2.2807667412261194,2.0486962861867437,True,1.0585142728803325,0.0,0.0,1.1249656421498848,chaos,3,13163,0.9238206285680017,0.8727521699392728,0.9232508400601538,1.0386254741536916,False,1;1;1;1;1;1,1.0,0.5547,1,1
