beats_mean,err_knn,err_mean_baseline,err_model,lag,lookback,mode,n_features,seed,skill,train_s
True,0.2071775056295427,1.0,0.00628524087369442,0,1,sync,3,0,0.9937147591263056,25.0
True,0.2071775056295427,1.0,0.019010527059435844,0,1,sync,3,1,0.9809894729405642,26.4
True,0.2071775056295427,1.0,0.005212577059864998,0,1,sync,3,2,0.994787422940135,24.3
True,1.1653913325721188,1.0,0.0129135986790061,0,8,sync,24,0,0.9870864013209939,24.6
True,1.1653913325721188,1.0,0.008185754530131817,0,8,sync,24,1,0.9918142454698682,23.7
True,1.1653913325721188,1.0,0.005277054384350777,0,8,sync,24,2,0.9947229456156492,23.4
True,0.2464352330066025,1.0,0.013848482631146908,1,1,lagged,3,0,0.9861515173688531,22.2
True,0.2464352330066025,1.0,0.019202793017029762,1,1,lagged,3,1,0.9807972069829702,21.7
True,0.2464352330066025,1.0,0.008622505702078342,1,1,lagged,3,2,0.9913774942979217,22.1
True,1.274327680577147,1.0,0.01254968624562025,1,8,lagged,24,0,0.9874503137543797,22.8
True,1.274327680577147,1.0,0.008229998871684074,1,8,lagged,24,1,0.9917700011283159,22.5
True,1.274327680577147,1.0,0.020539583638310432,1,8,lagged,24,2,0.9794604163616896,22.7
True,0.39595054386914835,1.0,0.019791677594184875,2,1,lagged,3,0,0.9802083224058151,21.8
True,0.39595054386914835,1.0,0.01842608116567135,2,1,lagged,3,1,0.9815739188343287,22.3
True,0.39595054386914835,1.0,0.01063614897429943,2,1,lagged,3,2,0.9893638510257006,22.6
True,1.3666751316809416,1.0,0.02011866867542267,2,8,lagged,24,0,0.9798813313245773,23.0
True,1.3666751316809416,1.0,0.01575201191008091,2,8,lagged,24,1,0.9842479880899191,22.8
True,1.3666751316809416,1.0,0.017400534823536873,2,8,lagged,24,2,0.9825994651764631,22.9
True,0.734866960905288,1.0,0.029453469440340996,4,1,lagged,3,0,0.970546530559659,21.9
True,0.734866960905288,1.0,0.013602151535451412,4,1,lagged,3,1,0.9863978484645486,23.1
True,0.734866960905288,1.0,0.012814387679100037,4,1,lagged,3,2,0.9871856123209,22.1
True,1.5092348361956174,1.0,0.03175526112318039,4,8,lagged,24,0,0.9682447388768196,23.3
True,1.5092348361956174,1.0,0.027137238532304764,4,8,lagged,24,1,0.9728627614676952,23.8
True,1.5092348361956174,1.0,0.022662363946437836,4,8,lagged,24,2,0.9773376360535622,23.0
True,1.2685472014363945,1.0,0.06159177049994469,8,1,lagged,3,0,0.9384082295000553,23.9
True,1.2685472014363945,1.0,0.042925477027893066,8,1,lagged,3,1,0.9570745229721069,22.7
True,1.2685472014363945,1.0,0.060735903680324554,8,1,lagged,3,2,0.9392640963196754,23.0
True,1.6434879353984404,1.0,0.03648317977786064,8,8,lagged,24,0,0.9635168202221394,17.9
True,1.6434879353984404,1.0,0.03078296408057213,8,8,lagged,24,1,0.9692170359194279,13.4
True,1.6434879353984404,1.0,0.03703950718045235,8,8,lagged,24,2,0.9629604928195477,13.4
True,1.642214489509715,1.0,0.10426072031259537,16,1,lagged,3,0,0.8957392796874046,13.1
True,1.642214489509715,1.0,0.09963954985141754,16,1,lagged,3,1,0.9003604501485825,13.4
True,1.642214489509715,1.0,0.09500383585691452,16,1,lagged,3,2,0.9049961641430855,13.3
True,1.6393124233175376,1.0,0.05416755750775337,16,8,lagged,24,0,0.9458324424922466,16.3
True,1.6393124233175376,1.0,0.08511658757925034,16,8,lagged,24,1,0.9148834124207497,14.8
True,1.6393124233175376,1.0,0.04207215830683708,16,8,lagged,24,2,0.9579278416931629,13.5
True,1.5519454979884346,1.0,0.22837193310260773,32,1,lagged,3,0,0.7716280668973923,13.8
True,1.5519454979884346,1.0,0.18793287873268127,32,1,lagged,3,1,0.8120671212673187,14.8
True,1.5519454979884346,1.0,0.18358638882637024,32,1,lagged,3,2,0.8164136111736298,13.2
True,1.4554679056060178,1.0,0.16436435282230377,32,8,lagged,24,0,0.8356356471776962,16.0
True,1.4554679056060178,1.0,0.1602163463830948,32,8,lagged,24,1,0.8397836536169052,15.3
True,1.4554679056060178,1.0,0.11892345547676086,32,8,lagged,24,2,0.8810765445232391,14.0
True,1.448496417803792,1.0,0.7163447737693787,64,1,lagged,3,0,0.28365522623062134,13.8
True,1.448496417803792,1.0,0.7450935244560242,64,1,lagged,3,1,0.25490647554397583,16.0
True,1.448496417803792,1.0,0.7238237261772156,64,1,lagged,3,2,0.2761762738227844,13.5
True,1.5251963998932339,1.0,0.6387818455696106,64,8,lagged,24,0,0.3612181544303894,16.2
True,1.5251963998932339,1.0,0.6441476345062256,64,8,lagged,24,1,0.3558523654937744,16.2
True,1.5251963998932339,1.0,0.6122295260429382,64,8,lagged,24,2,0.38777047395706177,13.5
True,0.2071775056295427,1.0,0.00628524087369442,1,1,intermittent,3,0,0.9937147591263056,13.1
True,0.2071775056295427,1.0,0.019010527059435844,1,1,intermittent,3,1,0.9809894729405642,13.1
True,0.2071775056295427,1.0,0.005212577059864998,1,1,intermittent,3,2,0.994787422940135,13.6
True,1.1653913325721188,1.0,0.0129135986790061,1,8,intermittent,24,0,0.9870864013209939,13.8
True,1.1653913325721188,1.0,0.008185754530131817,1,8,intermittent,24,1,0.9918142454698682,13.4
True,1.1653913325721188,1.0,0.005277054384350777,1,8,intermittent,24,2,0.9947229456156492,13.5
True,0.36615492825034507,1.0,0.10954190045595169,2,1,intermittent,3,0,0.8904580995440483,13.1
True,0.36615492825034507,1.0,0.10754285752773285,2,1,intermittent,3,1,0.8924571424722672,13.1
True,0.36615492825034507,1.0,0.10401534289121628,2,1,intermittent,3,2,0.8959846571087837,13.4
True,1.563531883973541,1.0,0.019035805016756058,2,8,intermittent,24,0,0.9809641949832439,13.7
True,1.563531883973541,1.0,0.007245460990816355,2,8,intermittent,24,1,0.9927545390091836,14.5
True,1.563531883973541,1.0,0.009346725419163704,2,8,intermittent,24,2,0.9906532745808363,13.5
True,0.49210286688958216,1.0,0.2269546389579773,4,1,intermittent,3,0,0.7730453610420227,13.2
True,0.49210286688958216,1.0,0.2294219732284546,4,1,intermittent,3,1,0.7705780267715454,13.2
True,0.49210286688958216,1.0,0.22459138929843903,4,1,intermittent,3,2,0.775408610701561,13.4
True,2.1071620920174796,1.0,0.02919289655983448,4,8,intermittent,24,0,0.9708071034401655,13.3
True,2.1071620920174796,1.0,0.019552279263734818,4,8,intermittent,24,1,0.9804477207362652,13.8
True,2.1071620920174796,1.0,0.017179671674966812,4,8,intermittent,24,2,0.9828203283250332,13.8
True,0.6605874906810626,1.0,0.4276904761791229,8,1,intermittent,3,0,0.5723095238208771,13.8
True,0.6605874906810626,1.0,0.4306286573410034,8,1,intermittent,3,1,0.5693713426589966,13.2
True,0.6605874906810626,1.0,0.4259776175022125,8,1,intermittent,3,2,0.5740223824977875,13.1
True,2.7528164252474907,1.0,0.04641776159405708,8,8,intermittent,24,0,0.9535822384059429,13.4
True,2.7528164252474907,1.0,0.04361393302679062,8,8,intermittent,24,1,0.9563860669732094,13.3
True,2.7528164252474907,1.0,0.04091602563858032,8,8,intermittent,24,2,0.9590839743614197,13.4
True,1.0831324497546109,1.0,0.6962934136390686,16,1,intermittent,3,0,0.3037065863609314,13.1
True,1.0831324497546109,1.0,0.6992978453636169,16,1,intermittent,3,1,0.30070215463638306,13.3
True,1.0831324497546109,1.0,0.6946590542793274,16,1,intermittent,3,2,0.3053409457206726,13.1
True,3.1179691139956613,1.0,0.3586050570011139,16,8,intermittent,24,0,0.6413949429988861,13.4
True,3.1179691139956613,1.0,0.3569057583808899,16,8,intermittent,24,1,0.6430942416191101,13.3
True,3.1179691139956613,1.0,0.36311668157577515,16,8,intermittent,24,2,0.6368833184242249,13.4
True,1.4343330205273785,1.0,0.9398627281188965,32,1,intermittent,3,0,0.060137271881103516,13.2
True,1.4343330205273785,1.0,0.9425524473190308,32,1,intermittent,3,1,0.05744755268096924,13.1
True,1.4343330205273785,1.0,0.939050555229187,32,1,intermittent,3,2,0.06094944477081299,13.1
True,2.5405150761869035,1.0,0.807172417640686,32,8,intermittent,24,0,0.19282758235931396,13.4
True,2.5405150761869035,1.0,0.7942058444023132,32,8,intermittent,24,1,0.20579415559768677,13.5
True,2.5405150761869035,1.0,0.7942507863044739,32,8,intermittent,24,2,0.20574921369552612,13.3
False,2.160067340827634,1.0,0.9895142316818237,64,1,intermittent,3,0,0.01048576831817627,13.1
False,2.160067340827634,1.0,0.9917547702789307,64,1,intermittent,3,1,0.008245229721069336,13.2
False,2.160067340827634,1.0,0.9898138046264648,64,1,intermittent,3,2,0.010186195373535156,13.2
True,2.7252950178281408,1.0,0.9498024582862854,64,8,intermittent,24,0,0.0501975417137146,13.4
True,2.7252950178281408,1.0,0.9490511417388916,64,8,intermittent,24,1,0.0509488582611084,13.3
True,2.7252950178281408,1.0,0.9539815783500671,64,8,intermittent,24,2,0.04601842164993286,20.8
True,0.2464352330066025,1.0,0.013848482631146908,1,1,jittered,3,0,0.9861515173688531,12.8
True,0.23674018285737314,1.0,0.01730422116816044,1,1,jittered,3,1,0.9826957788318396,12.7
True,0.22091061312091725,1.0,0.0052090054377913475,1,1,jittered,3,2,0.9947909945622087,12.8
True,1.274327680577147,1.0,0.01254968624562025,1,8,jittered,24,0,0.9874503137543797,13.1
True,1.241517305978004,1.0,0.009740757755935192,1,8,jittered,24,1,0.9902592422440648,13.0
True,1.201268080080311,1.0,0.02309778891503811,1,8,jittered,24,2,0.9769022110849619,12.9
True,0.2907435494504708,1.0,0.014647280797362328,2,1,jittered,3,0,0.9853527192026377,12.8
True,0.30559787536057237,1.0,0.01921026222407818,2,1,jittered,3,1,0.9807897377759218,12.7
True,0.2706724188869532,1.0,0.008436796255409718,2,1,jittered,3,2,0.9915632037445903,13.8
True,1.307725439154202,1.0,0.01775246299803257,2,8,jittered,24,0,0.9822475370019674,13.5
True,1.307132114370018,1.0,0.012395685538649559,2,8,jittered,24,1,0.9876043144613504,13.0
True,1.2355149564922543,1.0,0.009993449784815311,2,8,jittered,24,2,0.9900065502151847,13.1
True,0.5765613449690079,1.0,0.021675776690244675,4,1,jittered,3,0,0.9783242233097553,12.5
