density_kl,dim,diverged,final_train_loss,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,parrot_err_10,parrot_err_final,parrot_vpt_lyap,parrot_vpt_steps,persistence_err_10,persistence_err_final,persistence_vpt_lyap,persistence_vpt_steps,seed,smape_1,smape_all,spectrum_error,system,vpt_lyap,vpt_steps,wall_s
5.466097901797357,3,False,0.00010647877695737407,0.0035097622587646343,0.0005081038949985326,9987,8000,0.01487453134267499,1.3897699290954457,1.467568587341178,0.0,0.0,0.9069476974626167,0.8690761787782952,0.0,0.0,0,0.08246901441864998,0.8553858593248477,0.9794171464157504,ForcedVanDerPol,0.0035567272649897285,7.0,19.79
0.1496609908404652,3,False,0.00011754488351289183,0.0035097622587646343,0.0005081038949985326,9987,8000,0.022777029659800902,1.3897699290954457,1.467568587341178,0.0,0.0,0.9069476974626167,0.8690761787782952,0.0,0.0,1,0.10625129041189213,0.7927117949365099,0.33015562161332707,ForcedVanDerPol,0.0020324155799941305,4.0,14.08
3.3993582868083236,3,False,0.00012526042317040264,0.0035097622587646343,0.0005081038949985326,9987,8000,0.01913985521204947,1.3897699290954457,1.467568587341178,0.0,0.0,0.9069476974626167,0.8690761787782952,0.0,0.0,2,0.07676964454587835,0.9146023196531743,1.3866989256236855,ForcedVanDerPol,0.002540519474992663,5.0,15.96
5.292837379762406,3,False,0.00012545504921581595,0.0035097622587646343,0.0005081038949985326,9987,8000,0.021313739695456385,1.3897699290954457,1.467568587341178,0.0,0.0,0.9069476974626167,0.8690761787782952,0.0,0.0,3,0.17908940789455377,0.848204916629377,0.4334078066169929,ForcedVanDerPol,0.003048623369991196,6.0,14.32
3.3920565128402402,3,False,0.00010554475570097565,0.0035097622587646343,0.0005081038949985326,9987,8000,0.012169974263080856,1.3897699290954457,1.467568587341178,0.0,0.0,0.9069476974626167,0.8690761787782952,0.0,0.0,4,0.05570530911788305,0.6638504871560837,1.1626306233180321,ForcedVanDerPol,0.003048623369991196,6.0,13.9
0.19225766573810324,6,False,4.658405730879167e-06,0.010172128409635746,0.020823364067365336,9957,8000,0.0021103512965703892,0.06529113943176754,0.8041483987420471,1.5201055769176695,73.0,0.7390689736058298,1.411175249302901,0.08329345626946134,4.0,0,0.002197429002313339,0.17541534438429157,1.0896082783986218,CellCycle,2.644567236555398,127.00000000000001,14.38
0.03151218805398585,6,False,3.326870464661624e-06,0.010172128409635746,0.020823364067365336,9957,8000,0.0018558295198622037,0.06529113943176754,0.8041483987420471,1.5201055769176695,73.0,0.7390689736058298,1.411175249302901,0.08329345626946134,4.0,1,0.00236258819533712,0.16078264001317283,0.6032423709821242,CellCycle,3.227621430441627,155.0,16.39
0.01474130783436129,6,False,3.702706944750389e-06,0.010172128409635746,0.020823364067365336,9957,8000,0.0016559521132638024,0.06529113943176754,0.8041483987420471,1.5201055769176695,73.0,0.7390689736058298,1.411175249302901,0.08329345626946134,4.0,2,0.002091899942332772,0.20497362697310278,0.7140163184281066,CellCycle,2.3738635036796483,114.0,16.09
0.01609485212092737,6,False,3.3896479835675563e-06,0.010172128409635746,0.020823364067365336,9957,8000,0.0016235926174758628,0.06529113943176754,0.8041483987420471,1.5201055769176695,73.0,0.7390689736058298,1.411175249302901,0.08329345626946134,4.0,3,0.0024104675521021512,0.1833405602434345,1.077481249982353,CellCycle,2.852800877229051,137.0,16.64
0.15314057785582516,6,False,3.879334111843491e-06,0.010172128409635746,0.020823364067365336,9957,8000,0.0018074930110533727,0.06529113943176754,0.8041483987420471,1.5201055769176695,73.0,0.7390689736058298,1.411175249302901,0.08329345626946134,4.0,4,0.00208816136595311,0.19394470274701958,0.4362793802630616,CellCycle,2.290570047410187,110.0,14.32
0.0023177977829435033,4,False,1.3604168611891508e-07,0.03551120315239528,0.0022620636408075797,9979,8000,0.00039811828883166473,0.015971908299716342,0.034474295665712355,0.45241272816151595,200.0,0.6184583971604731,0.8162751486103171,0.013572381844845478,6.0,0,0.0010401963379546497,0.042448065081502964,0.2375169853424612,HenonHeiles,0.45241272816151595,200.0,15.12
0.03275761538739261,4,False,1.4344597730087115e-07,0.03551120315239528,0.0022620636408075797,9979,8000,0.00040479424114720186,0.015971908299716342,0.034474295665712355,0.45241272816151595,200.0,0.6184583971604731,0.8162751486103171,0.013572381844845478,6.0,1,0.0010196421127334038,0.04889276293870081,1.0462226372598598,HenonHeiles,0.45241272816151595,200.0,14.7
0.005174582903982334,4,False,1.2578179018873926e-07,0.03551120315239528,0.0022620636408075797,9979,8000,0.00037194467960678526,0.015971908299716342,0.034474295665712355,0.45241272816151595,200.0,0.6184583971604731,0.8162751486103171,0.013572381844845478,6.0,2,0.0010020328605631792,0.03878031467022277,0.29921880052475447,HenonHeiles,0.45241272816151595,200.0,17.94
0.004778643105932832,4,False,1.0212257041075645e-07,0.03551120315239528,0.0022620636408075797,9979,8000,0.00032742564146258666,0.015971908299716342,0.034474295665712355,0.45241272816151595,200.0,0.6184583971604731,0.8162751486103171,0.013572381844845478,6.0,3,0.0010000277610499703,0.03255473248468133,0.2707116378805069,HenonHeiles,0.45241272816151595,200.0,18.1
0.03605001390157953,4,False,1.5288690690340446e-07,0.03551120315239528,0.0022620636408075797,9979,8000,0.0004261002336026675,0.015971908299716342,0.034474295665712355,0.45241272816151595,200.0,0.6184583971604731,0.8162751486103171,0.013572381844845478,6.0,4,0.0011728417885919233,0.05053961318482127,0.7770866800721574,HenonHeiles,0.45241272816151595,200.0,16.29
0.04781235089152009,3,False,5.666515058692312e-06,0.07681730213975516,0.0058979556409882615,9987,8000,0.0016949497207805531,0.09607331295614514,0.8096803811614977,0.22412231435755395,38.0,0.7868161993502989,1.057698352579952,0.023591822563953046,4.0,0,0.0025882333797585147,0.17000152144208344,0.4177694981039273,Bouali2,0.3892650723052253,66.0,15.43
0.0945586500726338,3,False,4.923438449623063e-06,0.07681730213975516,0.0058979556409882615,9987,8000,0.0015324001685185131,0.09607331295614514,0.8096803811614977,0.22412231435755395,38.0,0.7868161993502989,1.057698352579952,0.023591822563953046,4.0,1,0.006164170330045568,0.16031093591278286,0.7061865269831138,Bouali2,0.4246528061511548,72.0,14.18
0.5532135359251106,3,False,6.357149243740423e-06,0.07681730213975516,0.0058979556409882615,9987,8000,0.0017594101955552245,0.09607331295614514,0.8096803811614977,0.22412231435755395,38.0,0.7868161993502989,1.057698352579952,0.023591822563953046,4.0,2,0.004835163642115562,0.19922998875312642,0.44706677244688126,Bouali2,0.40106098358720177,68.0,14.59
0.7346512592480755,3,False,6.672387500657351e-06,0.07681730213975516,0.0058979556409882615,9987,8000,0.0025234890150076256,0.09607331295614514,0.8096803811614977,0.22412231435755395,38.0,0.7868161993502989,1.057698352579952,0.023591822563953046,4.0,3,0.007474122490661577,0.21240088568510884,0.6321569009081519,Bouali2,0.5072241851249905,86.0,14.48
0.34368803298322015,3,False,5.481760609654885e-06,0.07681730213975516,0.0058979556409882615,9987,8000,0.0025349665340546213,0.09607331295614514,0.8096803811614977,0.22412231435755395,38.0,0.7868161993502989,1.057698352579952,0.023591822563953046,4.0,4,0.004121031830193123,0.19523247252819567,0.937944364707664,Bouali2,0.3951630279462135,67.0,14.17
2.4896088407248635,3,False,5.262864610995166e-05,0.12185254082886439,0.017002085021851448,9987,8000,0.00796599753352059,1.393498810461655,1.784558697315724,0.0,0.0,0.5555552811881751,1.0998014365365878,0.11901459515296013,7.0,0,0.030964864421340544,0.6984650855641374,2.3672190338884445,DoubleGyre,0.44205421056813765,26.0,14.58
5.330466706198105,3,False,5.21704220736865e-05,0.12185254082886439,0.017002085021851448,9987,8000,0.007262555161284008,1.393498810461655,1.784558697315724,0.0,0.0,0.5555552811881751,1.0998014365365878,0.11901459515296013,7.0,1,0.039908581743978565,0.8561727937080518,3.1769537672702093,DoubleGyre,0.44205421056813765,26.0,14.5
0.8552493961304585,3,False,4.9252837721724064e-05,0.12185254082886439,0.017002085021851448,9987,8000,0.006641583500780276,1.393498810461655,1.784558697315724,0.0,0.0,0.5555552811881751,1.0998014365365878,0.11901459515296013,7.0,2,0.023990443942683643,0.7062752639975571,1.2166079987554437,DoubleGyre,0.44205421056813765,26.0,14.29
1.2897185002452243,3,False,5.051029621972703e-05,0.12185254082886439,0.017002085021851448,9987,8000,0.007284599339576686,1.393498810461655,1.784558697315724,0.0,0.0,0.5555552811881751,1.0998014365365878,0.11901459515296013,7.0,3,0.026238387427236706,0.7640998980567991,2.889232121926097,DoubleGyre,0.4590562955899891,27.0,14.38
0.9607814298022209,3,False,5.056917932233773e-05,0.12185254082886439,0.017002085021851448,9987,8000,0.007173203534401014,1.393498810461655,1.784558697315724,0.0,0.0,0.5555552811881751,1.0998014365365878,0.11901459515296013,7.0,4,0.032487178003161726,0.7763115918676413,1.0704724433987824,DoubleGyre,0.44205421056813765,26.0,14.0
3.902055436076522,3,False,0.0002948248762404546,0.14026545752865122,0.010449215524054402,9987,8000,0.021370643681261535,1.3190027454795976,1.6191439706474238,0.0,0.0,0.5450952463538417,1.1512474724969148,0.06269529314432641,6.0,0,0.063705462308969,0.7045746712323688,1.2552334942579868,Duffing,0.16718744838487043,16.0,15.49
2.49977340966068,3,False,0.0002920377552509308,0.14026545752865122,0.010449215524054402,9987,8000,0.015613940362138147,1.3190027454795976,1.6191439706474238,0.0,0.0,0.5450952463538417,1.1512474724969148,0.06269529314432641,6.0,1,0.05956410546349985,0.6004264662658692,0.6123151801470071,Duffing,0.24033195705325125,23.0,14.32
